"DateTime","chamber","sw","sw0"
2016-09-30 06:15:00,"C01",0.178,0.12
2016-09-30 06:45:00,"C01",0.178,0.12
2016-09-30 07:15:00,"C01",0.178,0.12
2016-09-30 07:45:00,"C01",0.178,0.12
2016-09-30 08:15:00,"C01",0.178,0.12
2016-09-30 08:45:00,"C01",0.178,0.1195
2016-09-30 09:15:00,"C01",0.178,0.119
2016-09-30 09:45:00,"C01",0.1775,0.119
2016-09-30 10:15:00,"C01",0.177,0.119
2016-09-30 10:45:00,"C01",0.177,0.119
2016-09-30 11:15:00,"C01",0.177,0.119
2016-09-30 11:45:00,"C01",0.177,0.119
2016-09-30 12:15:00,"C01",0.177,0.119
2016-09-30 12:45:00,"C01",0.177,0.119
2016-09-30 13:15:00,"C01",0.177,0.119
2016-09-30 13:45:00,"C01",0.177,0.119
2016-09-30 14:15:00,"C01",0.177,0.1185
2016-09-30 14:45:00,"C01",0.177,0.118
2016-09-30 15:15:00,"C01",0.177,0.118
2016-09-30 15:45:00,"C01",0.177,0.118
2016-09-30 16:15:00,"C01",0.177,0.118
2016-09-30 16:45:00,"C01",0.177,0.118
2016-09-30 17:15:00,"C01",0.177,0.118
2016-09-30 17:45:00,"C01",0.1765,0.118
2016-09-30 18:15:00,"C01",0.176,0.118
2016-09-30 18:45:00,"C01",0.176,0.118
2016-09-30 19:15:00,"C01",0.176,0.118
2016-09-30 19:45:00,"C01",0.176,0.118
2016-09-30 20:15:00,"C01",0.176,0.118
2016-09-30 20:45:00,"C01",0.176,0.118
2016-09-30 21:15:00,"C01",0.176,0.118
2016-09-30 21:45:00,"C01",0.176,0.118
2016-09-30 22:15:00,"C01",0.176,0.118
2016-09-30 22:45:00,"C01",0.176,0.118
2016-09-30 23:15:00,"C01",0.176,0.118
2016-09-30 23:45:00,"C01",0.176,0.117
2016-10-01 00:15:00,"C01",0.176,0.117
2016-10-01 00:45:00,"C01",0.176,0.117
2016-10-01 01:15:00,"C01",0.176,0.117
2016-10-01 01:45:00,"C01",0.176,0.117
2016-10-01 02:15:00,"C01",0.176,0.117
2016-10-01 02:45:00,"C01",0.176,0.1175
2016-10-01 03:15:00,"C01",0.176,0.117
2016-10-01 03:45:00,"C01",0.176,0.117
2016-10-01 04:15:00,"C01",0.176,0.117
2016-10-01 04:45:00,"C01",0.176,0.117
2016-10-01 05:15:00,"C01",0.176,0.117
2016-10-01 05:45:00,"C01",0.176,0.117
2016-10-01 06:15:00,"C01",0.176,0.117
2016-10-01 06:45:00,"C01",0.176,0.117
2016-10-01 07:15:00,"C01",0.176,0.117
2016-10-01 07:45:00,"C01",0.176,0.117
2016-10-01 08:15:00,"C01",0.176,0.117
2016-10-01 08:45:00,"C01",0.176,0.117
2016-10-01 09:15:00,"C01",0.176,0.117
2016-10-01 09:45:00,"C01",0.1755,0.117
2016-10-01 10:15:00,"C01",0.175,0.117
2016-10-01 10:45:00,"C01",0.175,0.117
2016-10-01 11:15:00,"C01",0.175,0.117
2016-10-01 11:45:00,"C01",0.175,0.117
2016-10-01 12:15:00,"C01",0.175,0.1165
2016-10-01 12:45:00,"C01",0.175,0.116
2016-10-01 13:15:00,"C01",0.175,0.116
2016-10-01 13:45:00,"C01",0.175,0.116
2016-10-01 14:15:00,"C01",0.175,0.116
2016-10-01 14:45:00,"C01",0.175,0.116
2016-10-01 15:15:00,"C01",0.174,0.116
2016-10-01 15:45:00,"C01",0.174,0.116
2016-10-01 16:15:00,"C01",0.174,0.116
2016-10-01 16:45:00,"C01",0.174,0.116
2016-10-01 17:15:00,"C01",0.174,0.116
2016-10-01 17:45:00,"C01",0.174,0.116
2016-10-01 18:15:00,"C01",0.174,0.116
2016-10-01 18:45:00,"C01",0.174,0.116
2016-10-01 19:15:00,"C01",0.174,0.116
2016-10-01 19:45:00,"C01",0.174,0.116
2016-10-01 20:15:00,"C01",0.174,0.116
2016-10-01 20:45:00,"C01",0.174,0.116
2016-10-01 21:15:00,"C01",0.174,0.116
2016-10-01 21:45:00,"C01",0.174,0.116
2016-10-01 22:15:00,"C01",0.174,0.116
2016-10-01 22:45:00,"C01",0.174,0.116
2016-10-01 23:15:00,"C01",0.174,0.115
2016-10-01 23:45:00,"C01",0.174,0.115
2016-10-02 00:15:00,"C01",0.174,0.115
2016-10-02 00:45:00,"C01",0.174,0.115
2016-10-02 01:15:00,"C01",0.173,0.1155
2016-10-02 01:45:00,"C01",0.173,0.116
2016-10-02 02:15:00,"C01",0.173,0.117
2016-10-02 02:45:00,"C01",0.173,0.117
2016-10-02 03:15:00,"C01",0.173,0.118
2016-10-02 03:45:00,"C01",0.173,0.1195
2016-10-02 04:15:00,"C01",0.173,0.1205
2016-10-02 04:45:00,"C01",0.173,0.1215
2016-10-02 05:15:00,"C01",0.173,0.1235
2016-10-02 05:45:00,"C01",0.173,0.125
2016-10-02 06:15:00,"C01",0.173,0.126
2016-10-02 06:45:00,"C01",0.1725,0.1275
2016-10-02 07:15:00,"C01",0.173,0.13
2016-10-02 07:45:00,"C01",0.173,0.1315
