"TOA5","WTC01","CR1000","33590","CR1000.Std.19","CPU:WTCsensors_Ch1_20160714.CR1","22471","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2016-08-31 06:15:00",6130,0.135,0.164,0.191,12.08,12.23,12.44,12.88,12.72,12.05,12.47,13,13.26,13.12
"2016-08-31 06:30:00",6131,0.135,0.164,0.191,12.11,12.22,12.41,12.88,12.72,11.46,12.46,12.99,13.26,13.23
"2016-08-31 06:45:00",6132,0.135,0.164,0.191,12.12,12.21,12.4,12.85,12.72,3.893,12.46,12.98,13.26,13.33
"2016-08-31 07:00:00",6133,0.135,0.164,0.191,12.14,12.22,12.39,12.84,12.72,15.25,12.46,12.98,13.27,13.59
"2016-08-31 07:15:00",6134,0.135,0.164,0.191,12.25,12.23,12.38,12.83,12.72,17.88,12.47,12.99,13.27,13.94
"2016-08-31 07:30:00",6135,0.135,0.164,0.191,12.3,12.25,12.38,12.81,12.73,17.87,12.49,13,13.27,14.3
"2016-08-31 07:45:00",6136,0.135,0.164,0.191,12.39,12.3,12.39,12.79,12.73,16.71,12.51,13.02,13.27,14.68
"2016-08-31 08:00:00",6137,0.135,0.164,0.191,12.47,12.35,12.39,12.79,12.73,17,12.55,13.06,13.26,15.12
"2016-08-31 08:15:00",6138,0.135,0.164,0.191,12.54,12.39,12.4,12.8,12.73,19.62,12.59,13.1,13.26,15.53
"2016-08-31 08:30:00",6139,0.135,0.164,0.191,12.62,12.44,12.39,12.79,12.73,17.87,12.64,13.15,13.26,15.92
"2016-08-31 08:45:00",6140,0.135,0.164,0.191,12.71,12.49,12.4,12.79,12.73,18.45,12.68,13.2,13.26,16.34
"2016-08-31 09:00:00",6141,0.135,0.164,0.191,12.83,12.55,12.4,12.78,12.74,17.58,12.72,13.25,13.26,16.84
"2016-08-31 09:15:00",6142,0.135,0.164,0.191,12.96,12.6,12.43,12.79,12.73,15.25,12.77,13.32,13.26,17.39
"2016-08-31 09:30:00",6143,0.135,0.164,0.191,13.08,12.71,12.45,12.78,12.73,8.84,12.83,13.4,13.26,17.77
"2016-08-31 09:45:00",6144,0.135,0.164,0.191,13.21,12.79,12.49,12.78,12.73,5.634,12.89,13.49,13.27,18.25
"2016-08-31 10:00:00",6145,0.135,0.164,0.191,13.39,12.88,12.52,12.78,12.72,7.387,12.95,13.58,13.27,18.95
"2016-08-31 10:15:00",6146,0.135,0.164,0.191,13.57,12.99,12.56,12.81,12.74,0.993,13.02,13.69,13.27,19.73
"2016-08-31 10:30:00",6147,0.135,0.164,0.191,13.74,13.12,12.59,12.81,12.75,0.403,13.11,13.8,13.27,20.37
"2016-08-31 10:45:00",6148,0.135,0.164,0.191,13.89,13.24,12.64,12.83,12.74,1.86,13.19,13.91,13.27,21.1
"2016-08-31 11:00:00",6149,0.135,0.164,0.191,14.19,13.36,12.69,12.84,12.73,2.159,13.28,14.05,13.26,22.11
