"TOA5","WTC04","CR1000","33309","CR1000.Std.19","CPU:WTCsensors_ch4_20160229.CR1","38057","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2016-08-31 06:15:00",17644,0.178,0.2,0.202,14.6,14.61,14.51,14.38,14.18,13.97,14.78,14.84,13.54,12.88
"2016-08-31 06:30:00",17645,0.178,0.199,0.202,14.6,14.6,14.5,14.37,14.18,13.98,14.77,14.83,13.54,13
"2016-08-31 06:45:00",17646,0.178,0.199,0.202,14.61,14.6,14.5,14.37,14.18,13.98,14.76,14.83,13.54,13.07
"2016-08-31 07:00:00",17647,0.178,0.199,0.202,14.63,14.61,14.49,14.36,14.19,13.98,14.76,14.83,13.54,13.3
"2016-08-31 07:15:00",17648,0.178,0.199,0.202,14.65,14.61,14.49,14.36,14.18,13.99,14.76,14.84,13.54,13.61
"2016-08-31 07:30:00",17649,0.178,0.199,0.202,14.68,14.61,14.48,14.35,14.18,13.99,14.77,14.85,13.54,13.94
"2016-08-31 07:45:00",17650,0.178,0.199,0.202,14.76,14.64,14.47,14.33,14.19,13.99,14.78,14.87,13.54,14.32
"2016-08-31 08:00:00",17651,0.178,0.199,0.202,14.81,14.66,14.46,14.32,14.19,13.99,14.8,14.9,13.54,14.75
"2016-08-31 08:15:00",17652,0.178,0.199,0.202,14.86,14.7,14.47,14.32,14.19,13.99,14.83,14.93,13.54,15.21
"2016-08-31 08:30:00",17653,0.178,0.199,0.202,14.93,14.74,14.47,14.32,14.2,13.99,14.86,14.97,13.54,15.6
"2016-08-31 08:45:00",17654,0.178,0.199,0.202,15,14.76,14.49,14.32,14.19,13.99,14.9,15.02,13.54,15.97
"2016-08-31 09:00:00",17655,0.178,0.199,0.202,15.08,14.81,14.5,14.32,14.2,13.99,14.94,15.06,13.54,16.51
"2016-08-31 09:15:00",17656,0.178,0.199,0.202,15.21,14.89,14.5,14.33,14.2,13.99,14.99,15.13,13.54,17.04
"2016-08-31 09:30:00",17657,0.178,0.199,0.202,15.31,14.95,14.53,14.35,14.2,13.99,15.05,15.19,13.54,17.36
"2016-08-31 09:45:00",17658,0.178,0.199,0.202,15.41,15.02,14.54,14.35,14.2,13.99,15.12,15.26,13.54,17.84
"2016-08-31 10:00:00",17659,0.178,0.199,0.202,15.54,15.1,14.54,14.35,14.2,14,15.19,15.35,13.54,18.51
"2016-08-31 10:15:00",17660,0.178,0.199,0.202,15.67,15.18,14.56,14.35,14.2,14,15.28,15.44,13.54,19.28
"2016-08-31 10:30:00",17661,0.178,0.199,0.202,15.8,15.26,14.59,14.35,14.19,14,15.37,15.54,13.54,19.97
"2016-08-31 10:45:00",17662,0.178,0.199,0.202,15.94,15.36,14.64,14.35,14.19,14,15.46,15.64,13.54,20.64
"2016-08-31 11:00:00",17663,0.178,0.199,0.202,16.13,15.46,14.7,14.35,14.19,14.01,15.57,15.75,13.54,21.45
