"TOA5","WTC05","CR1000","33591","CR1000.Std.19","CPU:WTCsensors_Ch5_leafT_20160229.CR1","32165","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2016-08-31 06:15:00",17643,0.192,0.197,0.208,12.18,12.18,12.56,12.75,12.69,12.81,12.59,12.78,13.34,13.49
"2016-08-31 06:30:00",17644,0.192,0.197,0.208,12.19,12.17,12.52,12.74,12.69,12.81,12.58,12.77,13.34,13.61
"2016-08-31 06:45:00",17645,0.192,0.197,0.208,12.21,12.17,12.52,12.73,12.7,12.82,12.58,12.76,13.35,13.73
"2016-08-31 07:00:00",17646,0.192,0.197,0.208,12.22,12.16,12.52,12.72,12.7,12.83,12.58,12.75,13.36,13.9
"2016-08-31 07:15:00",17647,0.192,0.197,0.208,12.25,12.17,12.51,12.72,12.7,12.82,12.58,12.74,13.36,14.16
"2016-08-31 07:30:00",17648,0.192,0.197,0.208,12.3,12.19,12.51,12.71,12.7,12.82,12.6,12.75,13.36,14.49
"2016-08-31 07:45:00",17649,0.192,0.197,0.208,12.35,12.21,12.5,12.7,12.7,12.82,12.63,12.75,13.34,14.85
"2016-08-31 08:00:00",17650,0.192,0.197,0.208,12.41,12.23,12.5,12.7,12.7,12.83,12.66,12.77,13.34,15.24
"2016-08-31 08:15:00",17651,0.192,0.197,0.208,12.48,12.26,12.5,12.68,12.7,12.83,12.7,12.79,13.34,15.63
"2016-08-31 08:30:00",17652,0.192,0.197,0.208,12.55,12.31,12.5,12.68,12.7,12.84,12.74,12.81,13.35,16.02
"2016-08-31 08:45:00",17653,0.192,0.197,0.208,12.62,12.35,12.51,12.67,12.7,12.84,12.79,12.85,13.35,16.44
"2016-08-31 09:00:00",17654,0.192,0.197,0.208,12.73,12.4,12.53,12.67,12.7,12.84,12.84,12.88,13.34,16.91
"2016-08-31 09:15:00",17655,0.192,0.197,0.208,12.83,12.46,12.54,12.67,12.69,12.85,12.89,12.93,13.34,17.39
"2016-08-31 09:30:00",17656,0.192,0.197,0.208,12.93,12.52,12.56,12.67,12.69,12.85,12.96,12.98,13.35,17.82
"2016-08-31 09:45:00",17657,0.192,0.197,0.208,13.05,12.6,12.59,12.67,12.7,12.86,13.02,13.03,13.35,18.28
"2016-08-31 10:00:00",17658,0.192,0.197,0.208,13.2,12.67,12.61,12.68,12.71,12.87,13.1,13.09,13.35,18.87
"2016-08-31 10:15:00",17659,0.192,0.197,0.208,13.34,12.76,12.65,12.69,12.7,12.87,13.2,13.17,13.36,19.57
"2016-08-31 10:30:00",17660,0.192,0.196,0.208,13.46,12.88,12.68,12.69,12.7,12.85,13.32,13.25,13.36,20.15
"2016-08-31 10:45:00",17661,0.192,0.196,0.208,13.59,12.95,12.74,12.68,12.69,12.86,13.42,13.33,13.37,20.85
"2016-08-31 11:00:00",17662,0.192,0.196,0.208,13.8,13.09,12.78,12.71,12.71,12.87,13.54,13.43,13.37,21.72
