"TOA5","WTC12","CR1000","33276","CR1000.Std.19","CPU:WTCsensors_Ch12_20160229.CR1","19479","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","VW_Avg(4)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2016-08-31 06:15:00",17641,0.092,0.128,0.196,0.207,15.1,14.98,15.19,15.06,14.88,14.67,15.39,15.23,13.3,14.56
"2016-08-31 06:30:00",17642,0.092,0.128,0.196,0.207,15.1,14.96,15.18,15.05,14.88,14.68,15.37,15.22,13.25,14.71
"2016-08-31 06:45:00",17643,0.092,0.128,0.196,0.207,15.1,14.95,15.16,15.05,14.88,14.68,15.36,15.21,13.24,14.8
"2016-08-31 07:00:00",17644,0.092,0.128,0.196,0.207,15.1,14.95,15.14,15.05,14.89,14.68,15.34,15.21,13.32,14.95
"2016-08-31 07:15:00",17645,0.092,0.128,0.196,0.207,15.14,14.95,15.13,15.04,14.89,14.68,15.34,15.22,13.31,15.24
"2016-08-31 07:30:00",17646,0.092,0.128,0.196,0.207,15.18,14.95,15.09,15.03,14.89,14.68,15.35,15.24,13.33,15.58
"2016-08-31 07:45:00",17647,0.092,0.128,0.196,0.207,15.23,14.96,15.09,15.01,14.88,14.68,15.35,15.27,13.32,15.95
"2016-08-31 08:00:00",17648,0.092,0.128,0.196,0.207,15.31,15,15.09,15,14.89,14.7,15.37,15.31,13.3,16.36
"2016-08-31 08:15:00",17649,0.092,0.128,0.196,0.207,15.37,15.04,15.1,14.99,14.88,14.7,15.4,15.35,13.28,16.79
"2016-08-31 08:30:00",17650,0.092,0.128,0.196,0.207,15.44,15.09,15.12,14.99,14.88,14.71,15.43,15.41,13.28,17.19
"2016-08-31 08:45:00",17651,0.092,0.128,0.196,0.207,15.54,15.14,15.13,14.98,14.88,14.71,15.47,15.47,13.28,17.56
"2016-08-31 09:00:00",17652,0.092,0.128,0.196,0.207,15.62,15.18,15.13,14.96,14.87,14.7,15.52,15.53,13.27,18.05
"2016-08-31 09:15:00",17653,0.092,0.128,0.196,0.207,15.73,15.25,15.12,14.95,14.86,14.7,15.58,15.61,13.27,18.58
"2016-08-31 09:30:00",17654,0.092,0.128,0.196,0.207,15.85,15.32,15.13,14.95,14.87,14.7,15.64,15.7,13.27,18.95
"2016-08-31 09:45:00",17655,0.092,0.128,0.196,0.207,15.97,15.39,15.16,14.94,14.86,14.7,15.71,15.78,13.28,19.39
"2016-08-31 10:00:00",17656,0.092,0.128,0.196,0.206,16.12,15.47,15.2,14.95,14.87,14.7,15.79,15.89,13.29,20.02
"2016-08-31 10:15:00",17657,0.092,0.128,0.196,0.206,16.29,15.58,15.24,14.96,14.87,14.7,15.88,16.01,13.29,20.66
"2016-08-31 10:30:00",17658,0.092,0.128,0.196,0.206,16.46,15.69,15.26,15.01,14.87,14.7,15.98,16.13,13.29,21.23
"2016-08-31 10:45:00",17659,0.092,0.128,0.196,0.206,16.62,15.79,15.3,15.02,14.88,14.69,16.09,16.26,13.28,21.89
"2016-08-31 11:00:00",17660,0.092,0.128,0.196,0.206,16.87,15.94,15.35,15.02,14.88,14.7,16.2,16.42,13.27,22.9
"2016-08-31 11:15:00",17661,0.092,0.128,0.196,0.206,17.16,16.1,15.42,15.03,14.89,14.71,16.34,16.64,13.26,23.9
"2016-08-31 11:30:00",17662,0.092,0.128,0.196,0.206,17.42,16.26,15.48,15.05,14.88,14.71,16.51,16.9,13.26,24.39
"2016-08-31 11:45:00",17663,0.092,0.128,0.196,0.206,17.57,16.41,15.58,15.06,14.88,14.71,16.68,17.1,13.3,24.57
"2016-08-31 12:00:00",17664,0.092,0.128,0.196,0.206,17.71,16.55,15.65,15.06,14.88,14.71,16.84,17.24,13.32,24.66
"2016-08-31 12:15:00",17665,0.092,0.128,0.196,0.206,17.83,16.69,15.73,15.09,14.89,14.71,16.98,17.36,13.33,24.69
"2016-08-31 12:30:00",17666,0.092,0.128,0.196,0.206,17.96,16.79,15.81,15.13,14.89,14.72,17.1,17.46,13.32,24.81
"2016-08-31 12:45:00",17667,0.092,0.128,0.195,0.206,18.08,16.91,15.89,15.16,14.88,14.72,17.21,17.56,13.32,24.87
"2016-08-31 13:00:00",17668,0.092,0.128,0.195,0.206,18.15,17.02,15.97,15.19,14.89,14.71,17.32,17.65,13.32,24.72
"2016-08-31 13:15:00",17669,0.092,0.128,0.195,0.206,18.2,17.09,16.05,15.2,14.9,14.71,17.41,17.72,13.32,24.51
"2016-08-31 13:30:00",17670,0.092,0.128,0.195,0.206,18.23,17.17,16.12,15.25,14.9,14.71,17.49,17.78,13.3,24.33
"2016-08-31 13:45:00",17671,0.092,0.128,0.195,0.206,18.29,17.25,16.19,15.29,14.91,14.72,17.55,17.83,13.3,24.48
"2016-08-31 14:00:00",17672,0.092,0.128,0.195,0.206,18.42,17.35,16.27,15.32,14.91,14.72,17.62,17.89,13.32,24.89
"2016-08-31 14:15:00",17673,0.092,0.128,0.195,0.206,18.56,17.45,16.33,15.37,14.92,14.72,17.7,17.97,13.31,25.16
"2016-08-31 14:30:00",17674,0.092,0.128,0.195,0.206,18.65,17.55,16.4,15.41,14.93,14.73,17.78,18.05,13.31,25.37
"2016-08-31 14:45:00",17675,0.091,0.128,0.195,0.206,18.79,17.64,16.45,15.44,14.95,14.72,17.86,18.13,13.31,26.59
"2016-08-31 15:00:00",17676,0.091,0.127,0.195,0.206,18.98,17.75,16.53,15.48,14.95,14.73,17.94,18.22,13.32,27.75
"2016-08-31 15:15:00",17677,0.091,0.127,0.195,0.206,19.12,17.88,16.59,15.53,14.95,14.73,18.03,18.32,13.33,28.72
"2016-08-31 15:30:00",17678,0.091,0.127,0.195,0.206,19.24,17.98,16.67,15.56,14.96,14.73,18.14,18.42,13.34,28.92
"2016-08-31 15:45:00",17679,0.091,0.127,0.195,0.206,19.32,18.08,16.73,15.59,14.97,14.74,18.25,18.52,13.34,28.4
"2016-08-31 16:00:00",17680,0.091,0.127,0.195,0.206,19.38,18.16,16.79,15.68,14.99,14.73,18.36,18.6,13.34,27.88
"2016-08-31 16:15:00",17681,0.091,0.127,0.195,0.206,19.41,18.23,16.88,15.7,14.99,14.73,18.46,18.66,13.34,27.15
"2016-08-31 16:30:00",17682,0.091,0.127,0.195,0.206,19.41,18.28,16.94,15.75,14.99,14.73,18.53,18.7,13.34,26.37
"2016-08-31 16:45:00",17683,0.091,0.127,0.195,0.206,19.37,18.29,17,15.79,14.99,14.72,18.57,18.73,13.33,25.55
"2016-08-31 17:00:00",17684,0.091,0.127,0.195,0.206,19.3,18.32,17.04,15.82,15,14.72,18.59,18.75,13.33,24.72
"2016-08-31 17:15:00",17685,0.091,0.127,0.195,0.206,19.23,18.31,17.11,15.87,15.01,14.73,18.59,18.74,13.34,24.07
"2016-08-31 17:30:00",17686,0.091,0.127,0.195,0.206,19.18,18.3,17.13,15.9,15.04,14.74,18.58,18.72,13.34,23.58
"2016-08-31 17:45:00",17687,0.091,0.127,0.195,0.206,19.1,18.29,17.18,15.95,15.05,14.73,18.57,18.7,13.34,23.12
"2016-08-31 18:00:00",17688,0.091,0.127,0.195,0.206,19.05,18.26,17.22,15.99,15.07,14.74,18.54,18.67,13.34,22.7
"2016-08-31 18:15:00",17689,0.091,0.127,0.195,0.206,18.99,18.24,17.27,16.01,15.07,14.75,18.51,18.63,13.34,22.25
"2016-08-31 18:30:00",17690,0.091,0.127,0.195,0.206,18.94,18.22,17.28,16.05,15.09,14.76,18.47,18.59,13.35,21.86
"2016-08-31 18:45:00",17691,0.091,0.127,0.195,0.206,18.86,18.21,17.28,16.07,15.11,14.75,18.44,18.55,13.35,21.48
"2016-08-31 19:00:00",17692,0.091,0.127,0.195,0.206,18.79,18.17,17.28,16.1,15.12,14.76,18.41,18.51,13.36,21.02
"2016-08-31 19:15:00",17693,0.091,0.127,0.195,0.206,18.7,18.12,17.29,16.12,15.14,14.75,18.37,18.46,13.35,20.53
"2016-08-31 19:30:00",17694,0.091,0.127,0.195,0.206,18.59,18.05,17.29,16.15,15.14,14.75,18.32,18.4,13.35,20.08
"2016-08-31 19:45:00",17695,0.091,0.127,0.195,0.206,18.48,18.02,17.29,16.15,15.16,14.75,18.27,18.33,13.35,19.68
"2016-08-31 20:00:00",17696,0.091,0.127,0.195,0.206,18.39,17.94,17.28,16.18,15.17,14.75,18.22,18.25,13.35,19.28
"2016-08-31 20:15:00",17697,0.091,0.127,0.195,0.206,18.29,17.89,17.28,16.2,15.19,14.74,18.16,18.18,13.35,19
"2016-08-31 20:30:00",17698,0.091,0.127,0.195,0.206,18.19,17.83,17.25,16.23,15.21,14.74,18.11,18.11,13.35,18.66
"2016-08-31 20:45:00",17699,0.091,0.127,0.195,0.206,18.09,17.76,17.24,16.25,15.23,14.74,18.05,18.03,13.35,18.35
"2016-08-31 21:00:00",17700,0.091,0.127,0.195,0.206,18.01,17.69,17.21,16.25,15.23,14.75,17.98,17.95,13.34,17.99
"2016-08-31 21:15:00",17701,0.091,0.127,0.195,0.206,17.9,17.61,17.17,16.26,15.23,14.75,17.92,17.87,13.33,17.66
"2016-08-31 21:30:00",17702,0.091,0.127,0.195,0.206,17.78,17.55,17.15,16.25,15.26,14.75,17.86,17.79,13.33,17.36
"2016-08-31 21:45:00",17703,0.091,0.127,0.195,0.206,17.69,17.48,17.11,16.26,15.27,14.75,17.79,17.7,13.32,17.16
"2016-08-31 22:00:00",17704,0.091,0.127,0.195,0.206,17.62,17.41,17.11,16.26,15.31,14.76,17.72,17.62,13.32,17.11
"2016-08-31 22:15:00",17705,0.091,0.127,0.195,0.206,17.55,17.32,17.07,16.26,15.32,14.76,17.66,17.55,13.34,17.16
"2016-08-31 22:30:00",17706,0.091,0.127,0.195,0.206,17.51,17.26,17.02,16.26,15.33,14.76,17.61,17.5,13.35,17.16
"2016-08-31 22:45:00",17707,0.091,0.127,0.195,0.206,17.49,17.19,17.02,16.27,15.34,14.76,17.56,17.45,13.36,17.04
"2016-08-31 23:00:00",17708,0.091,0.127,0.195,0.206,17.42,17.16,16.99,16.27,15.34,14.77,17.51,17.41,13.36,16.89
"2016-08-31 23:15:00",17709,0.091,0.127,0.195,0.206,17.37,17.09,16.97,16.26,15.35,14.78,17.47,17.35,13.35,16.79
"2016-08-31 23:30:00",17710,0.092,0.127,0.195,0.206,17.31,17.05,16.93,16.26,15.36,14.79,17.42,17.3,13.35,16.66
"2016-08-31 23:45:00",17711,0.092,0.127,0.195,0.206,17.25,17.01,16.88,16.27,15.37,14.79,17.38,17.26,13.32,16.46
"2016-09-01 00:00:00",17712,0.092,0.127,0.195,0.206,17.19,16.95,16.87,16.25,15.38,14.79,17.33,17.2,13.31,16.39
"2016-09-01 00:15:00",17713,0.092,0.127,0.195,0.206,17.14,16.93,16.84,16.25,15.4,14.79,17.28,17.16,13.3,16.29
"2016-09-01 00:30:00",17714,0.092,0.127,0.195,0.206,17.09,16.87,16.81,16.24,15.41,14.8,17.24,17.11,13.29,16.12
"2016-09-01 00:45:00",17715,0.092,0.127,0.195,0.206,17,16.82,16.77,16.22,15.42,14.8,17.2,17.06,13.29,15.87
"2016-09-01 01:00:00",17716,0.092,0.127,0.195,0.206,16.93,16.78,16.74,16.21,15.42,14.8,17.16,17.01,13.29,15.73
"2016-09-01 01:15:00",17717,0.092,0.127,0.195,0.206,16.86,16.72,16.73,16.2,15.43,14.8,17.11,16.95,13.3,15.55
"2016-09-01 01:30:00",17718,0.092,0.127,0.195,0.206,16.8,16.66,16.69,16.18,15.43,14.8,17.06,16.9,13.31,15.34
"2016-09-01 01:45:00",17719,0.092,0.127,0.195,0.206,16.71,16.62,16.65,16.17,15.43,14.81,17.01,16.83,13.31,15.04
"2016-09-01 02:00:00",17720,0.092,0.127,0.195,0.206,16.59,16.54,16.62,16.16,15.42,14.8,16.95,16.77,13.32,14.68
"2016-09-01 02:15:00",17721,0.092,0.127,0.195,0.206,16.49,16.48,16.6,16.14,15.44,14.8,16.89,16.69,13.32,14.35
"2016-09-01 02:30:00",17722,0.092,0.127,0.195,0.206,16.38,16.42,16.56,16.13,15.44,14.8,16.81,16.59,13.33,14.04
"2016-09-01 02:45:00",17723,0.092,0.127,0.195,0.206,16.27,16.31,16.5,16.11,15.46,14.8,16.73,16.51,13.32,13.71
"2016-09-01 03:00:00",17724,0.092,0.127,0.195,0.206,16.15,16.25,16.47,16.09,15.46,14.8,16.66,16.42,13.31,13.4
"2016-09-01 03:15:00",17725,0.092,0.127,0.195,0.206,16.04,16.16,16.44,16.09,15.48,14.79,16.58,16.32,13.31,13.09
"2016-09-01 03:30:00",17726,0.092,0.127,0.195,0.206,15.92,16.06,16.37,16.08,15.48,14.81,16.5,16.23,13.32,12.88
"2016-09-01 03:45:00",17727,0.092,0.127,0.195,0.206,15.83,15.99,16.34,16.07,15.48,14.82,16.41,16.13,13.31,12.67
"2016-09-01 04:00:00",17728,0.092,0.127,0.195,0.206,15.73,15.89,16.29,16.05,15.48,14.82,16.33,16.04,13.31,12.46
"2016-09-01 04:15:00",17729,0.092,0.127,0.195,0.206,15.63,15.8,16.23,16.04,15.49,14.82,16.25,15.96,13.33,12.28
"2016-09-01 04:30:00",17730,0.092,0.127,0.195,0.206,15.54,15.73,16.19,16,15.49,14.83,16.17,15.87,13.32,12.09
"2016-09-01 04:45:00",17731,0.092,0.127,0.195,0.206,15.45,15.65,16.13,15.97,15.49,14.83,16.09,15.78,13.31,11.96
"2016-09-01 05:00:00",17732,0.092,0.127,0.195,0.206,15.35,15.56,16.1,15.96,15.5,14.83,16.02,15.7,13.31,11.7
"2016-09-01 05:15:00",17733,0.092,0.127,0.195,0.206,15.24,15.48,16.02,15.94,15.5,14.84,15.93,15.62,13.31,11.45
"2016-09-01 05:30:00",17734,0.092,0.127,0.195,0.206,15.15,15.4,15.99,15.92,15.49,14.83,15.85,15.53,13.31,11.27
"2016-09-01 05:45:00",17735,0.092,0.127,0.195,0.206,15.04,15.31,15.91,15.89,15.5,14.84,15.77,15.44,13.31,11.04
"2016-09-01 06:00:00",17736,0.092,0.127,0.195,0.206,14.96,15.23,15.86,15.85,15.49,14.84,15.69,15.36,13.3,10.9
"2016-09-01 06:15:00",17737,0.092,0.127,0.195,0.206,14.87,15.15,15.81,15.82,15.49,14.87,15.61,15.28,13.28,10.7
"2016-09-01 06:30:00",17738,0.092,0.127,0.195,0.206,14.76,15.06,15.73,15.81,15.48,14.87,15.52,15.2,13.28,10.45
"2016-09-01 06:45:00",17739,0.092,0.127,0.195,0.206,14.67,14.96,15.7,15.78,15.47,14.87,15.43,15.11,13.28,10.34
"2016-09-01 07:00:00",17740,0.092,0.127,0.195,0.206,14.59,14.88,15.63,15.75,15.47,14.87,15.35,15.02,13.31,10.4
"2016-09-01 07:15:00",17741,0.092,0.127,0.195,0.206,14.55,14.81,15.59,15.71,15.47,14.87,15.28,14.96,13.31,10.49
"2016-09-01 07:30:00",17742,0.092,0.127,0.195,0.206,14.5,14.76,15.52,15.69,15.48,14.87,15.21,14.9,13.31,10.65
"2016-09-01 07:45:00",17743,0.092,0.127,0.195,0.206,14.48,14.71,15.44,15.68,15.47,14.87,15.16,14.85,13.3,10.95
"2016-09-01 08:00:00",17744,0.092,0.127,0.195,0.206,14.48,14.65,15.38,15.61,15.48,14.87,15.12,14.82,13.3,11.56
"2016-09-01 08:15:00",17745,0.092,0.127,0.195,0.206,14.56,14.64,15.35,15.58,15.46,14.87,15.09,14.81,13.31,12.49
"2016-09-01 08:30:00",17746,0.092,0.127,0.195,0.206,14.69,14.66,15.3,15.55,15.45,14.88,15.09,14.84,13.32,13.47
"2016-09-01 08:45:00",17747,0.092,0.127,0.195,0.206,14.83,14.7,15.28,15.51,15.44,14.88,15.11,14.89,13.32,14.3
"2016-09-01 09:00:00",17748,0.092,0.127,0.195,0.206,14.99,14.77,15.24,15.5,15.44,14.89,15.15,14.97,13.31,15.14
"2016-09-01 09:15:00",17749,0.092,0.127,0.195,0.206,15.17,14.84,15.23,15.47,15.43,14.89,15.21,15.06,13.32,16
"2016-09-01 09:30:00",17750,0.092,0.127,0.195,0.206,15.35,14.95,15.23,15.42,15.43,14.88,15.28,15.18,13.33,16.69
"2016-09-01 09:45:00",17751,0.092,0.127,0.195,0.206,15.53,15.07,15.23,15.42,15.43,14.9,15.37,15.3,13.36,17.49
"2016-09-01 10:00:00",17752,0.092,0.127,0.195,0.206,15.78,15.19,15.24,15.41,15.43,14.91,15.47,15.45,13.38,18.35
"2016-09-01 10:15:00",17753,0.092,0.127,0.195,0.206,16.06,15.35,15.27,15.37,15.41,14.9,15.58,15.68,13.37,19.15
"2016-09-01 10:30:00",17754,0.091,0.127,0.195,0.206,16.29,15.49,15.32,15.36,15.4,14.91,15.69,16.02,13.36,19.92
"2016-09-01 10:45:00",17755,0.091,0.127,0.195,0.206,16.52,15.66,15.38,15.36,15.4,14.91,15.82,16.41,13.34,20.69
"2016-09-01 11:00:00",17756,0.091,0.127,0.195,0.206,16.76,15.82,15.41,15.36,15.4,14.92,15.96,16.72,13.32,21.51
"2016-09-01 11:15:00",17757,0.091,0.127,0.195,0.206,16.98,16.01,15.5,15.38,15.39,14.92,16.11,16.95,13.33,22.11
"2016-09-01 11:30:00",17758,0.091,0.127,0.195,0.206,17.12,16.16,15.59,15.39,15.39,14.93,16.27,17.13,13.33,22.36
"2016-09-01 11:45:00",17759,0.091,0.127,0.195,0.206,17.22,16.3,15.68,15.39,15.39,14.93,16.41,17.24,13.33,22.59
"2016-09-01 12:00:00",17760,0.091,0.127,0.195,0.206,17.39,16.41,15.75,15.39,15.38,14.94,16.54,17.34,13.31,23.32
"2016-09-01 12:15:00",17761,0.091,0.127,0.195,0.206,17.55,16.53,15.82,15.4,15.36,14.95,16.68,17.53,13.31,23.93
"2016-09-01 12:30:00",17762,0.091,0.127,0.195,0.206,17.72,16.65,15.9,15.43,15.35,14.95,16.81,17.73,13.32,24.57
"2016-09-01 12:45:00",17763,0.091,0.127,0.195,0.206,17.96,16.78,15.97,15.47,15.34,14.95,16.94,17.9,13.31,25.19
"2016-09-01 13:00:00",17764,0.091,0.127,0.195,0.206,18.16,16.94,16.05,15.51,15.34,14.95,17.08,18.07,13.3,25.76
"2016-09-01 13:15:00",17765,0.091,0.126,0.195,0.206,18.26,17.07,16.14,15.53,15.34,14.95,17.21,18.23,13.3,25.73
"2016-09-01 13:30:00",17766,0.091,0.126,0.195,0.206,18.34,17.19,16.22,15.56,15.34,14.95,17.32,18.34,13.31,25.52
"2016-09-01 13:45:00",17767,0.091,0.126,0.195,0.206,18.47,17.33,16.3,15.58,15.34,14.96,17.42,18.39,13.31,25.95
"2016-09-01 14:00:00",17768,0.09,0.126,0.195,0.206,18.64,17.48,16.38,15.64,15.35,14.96,17.52,18.46,13.3,26.65
"2016-09-01 14:15:00",17769,0.09,0.126,0.195,0.206,18.85,17.61,16.46,15.68,15.35,14.96,17.62,18.54,13.29,27.56
"2016-09-01 14:30:00",17770,0.09,0.126,0.195,0.206,19.12,17.77,16.55,15.72,15.36,14.96,17.72,18.62,13.27,28.53
"2016-09-01 14:45:00",17771,0.09,0.126,0.195,0.206,19.37,17.96,16.65,15.78,15.36,14.96,17.82,18.71,13.27,29.52
"2016-09-01 15:00:00",17772,0.09,0.126,0.195,0.206,19.51,18.13,16.74,15.82,15.37,14.96,17.91,18.79,13.27,30.67
"2016-09-01 15:15:00",17773,0.09,0.126,0.195,0.206,19.59,18.25,16.84,15.83,15.36,14.96,17.99,18.87,13.29,30.12
"2016-09-01 15:30:00",17774,0.09,0.126,0.195,0.206,19.59,18.34,16.94,15.88,15.36,14.96,18.07,18.92,13.3,29.08
"2016-09-01 15:45:00",17775,0.09,0.126,0.195,0.206,19.58,18.39,17.03,15.92,15.36,14.96,18.15,18.94,13.3,28.43
"2016-09-01 16:00:00",17776,0.09,0.126,0.195,0.206,19.59,18.45,17.11,15.99,15.36,14.96,18.22,18.96,13.3,28.23
"2016-09-01 16:15:00",17777,0.09,0.126,0.195,0.206,19.59,18.49,17.18,16.03,15.37,14.97,18.3,19,13.29,27.44
"2016-09-01 16:30:00",17778,0.09,0.126,0.195,0.206,19.56,18.52,17.28,16.08,15.37,14.98,18.36,19.02,13.29,26.34
"2016-09-01 16:45:00",17779,0.09,0.126,0.195,0.206,19.5,18.53,17.33,16.12,15.38,14.98,18.41,19.02,13.28,25.34
"2016-09-01 17:00:00",17780,0.09,0.126,0.195,0.206,19.41,18.53,17.39,16.16,15.41,15,18.43,19,13.29,24.51
"2016-09-01 17:15:00",17781,0.09,0.126,0.195,0.206,19.32,18.5,17.43,16.22,15.42,15,18.43,18.97,13.29,23.78
"2016-09-01 17:30:00",17782,0.09,0.126,0.195,0.206,19.22,18.47,17.46,16.24,15.43,14.99,18.42,18.92,13.28,23.18
"2016-09-01 17:45:00",17783,0.09,0.126,0.195,0.206,19.13,18.44,17.5,16.3,15.43,14.98,18.4,18.87,13.28,22.64
"2016-09-01 18:00:00",17784,0.09,0.126,0.195,0.206,18.98,18.4,17.51,16.33,15.44,14.99,18.37,18.81,13.28,21.89
"2016-09-01 18:15:00",17785,0.09,0.126,0.195,0.206,18.71,18.31,17.51,16.36,15.45,14.98,18.32,18.73,13.33,21.1
"2016-09-01 18:30:00",17786,0.09,0.126,0.195,0.206,18.48,18.2,17.52,16.39,15.48,14.97,18.24,18.62,13.32,20.42
"2016-09-01 18:45:00",17787,0.09,0.126,0.195,0.206,18.27,18.08,17.52,16.43,15.49,14.97,18.15,18.5,13.33,19.89
"2016-09-01 19:00:00",17788,0.09,0.126,0.195,0.206,18.08,17.97,17.5,16.43,15.49,14.98,18.05,18.38,13.33,19.47
"2016-09-01 19:15:00",17789,0.09,0.126,0.195,0.206,17.91,17.84,17.47,16.44,15.5,14.98,17.94,18.26,13.33,19.08
"2016-09-01 19:30:00",17790,0.09,0.126,0.195,0.206,17.77,17.73,17.45,16.47,15.5,14.98,17.84,18.14,13.35,18.74
