"TOA5","WTC04","CR1000","33309","CR1000.Std.19","CPU:WTCsensors_ch4_20160229.CR1","38057","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2016-09-30 06:15:00",20524,0.166,0.19,0.195,15.78,15.96,16.11,16.19,16.29,16.11,16.14,16.1,13.53,12.49
"2016-09-30 06:30:00",20525,0.166,0.19,0.195,15.78,15.94,16.1,16.16,16.29,16.11,16.12,16.08,13.53,12.49
"2016-09-30 06:45:00",20526,0.166,0.19,0.195,15.75,15.92,16.06,16.16,16.29,16.12,16.11,16.06,13.54,12.58
"2016-09-30 07:00:00",20527,0.166,0.19,0.195,15.78,15.92,16.04,16.16,16.28,16.11,16.11,16.05,13.54,12.86
"2016-09-30 07:15:00",20528,0.166,0.19,0.195,15.82,15.92,16.02,16.15,16.28,16.11,16.13,16.07,13.54,13.28
"2016-09-30 07:30:00",20529,0.166,0.19,0.195,15.87,15.94,16.01,16.15,16.29,16.11,16.15,16.11,13.54,13.73
"2016-09-30 07:45:00",20530,0.166,0.19,0.195,15.97,15.97,16.01,16.15,16.27,16.11,16.19,16.15,13.54,14.25
"2016-09-30 08:00:00",20531,0.166,0.19,0.195,16.2,16.02,16.01,16.13,16.26,16.11,16.26,16.21,13.54,14.8
"2016-09-30 08:15:00",20532,0.166,0.19,0.195,16.47,16.13,16.02,16.12,16.25,16.11,16.34,16.27,13.54,15.39
"2016-09-30 08:30:00",20533,0.166,0.19,0.195,16.73,16.26,16.05,16.1,16.25,16.1,16.44,16.35,13.54,16
"2016-09-30 08:45:00",20534,0.166,0.19,0.195,16.99,16.42,16.07,16.1,16.24,16.1,16.56,16.45,13.54,16.71
"2016-09-30 09:00:00",20535,0.165,0.19,0.195,17.27,16.58,16.14,16.1,16.24,16.1,16.72,16.56,13.54,17.34
"2016-09-30 09:15:00",20536,0.165,0.19,0.195,17.48,16.75,16.16,16.09,16.24,16.1,16.94,16.69,13.54,17.87
"2016-09-30 09:30:00",20537,0.165,0.19,0.195,17.64,16.9,16.23,16.1,16.24,16.1,17.19,16.81,13.54,18.28
"2016-09-30 09:45:00",20538,0.165,0.19,0.195,17.77,17.06,16.3,16.12,16.24,16.1,17.42,16.93,13.54,18.56
"2016-09-30 10:00:00",20539,0.165,0.19,0.195,17.83,17.21,16.37,16.13,16.23,16.09,17.61,17.05,13.54,18.35
"2016-09-30 10:15:00",20540,0.165,0.19,0.195,17.83,17.3,16.42,16.16,16.23,16.09,17.7,17.12,13.54,18.17
"2016-09-30 10:30:00",20541,0.165,0.19,0.195,17.81,17.35,16.49,16.19,16.23,16.09,17.74,17.16,13.54,17.95
"2016-09-30 10:45:00",20542,0.165,0.19,0.195,17.79,17.36,16.53,16.21,16.23,16.09,17.77,17.19,13.54,17.84
"2016-09-30 11:00:00",20543,0.165,0.19,0.195,17.85,17.41,16.59,16.22,16.23,16.09,17.82,17.23,13.54,18.12
