"TOA5","WTC04","CR1000","33309","CR1000.Std.30.01","CPU:WTCsensors_ch4_20160229.CR1","38057","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2016-10-31 06:15:00",1324,0.096,0.093,0.102,20.81,20.99,20.81,20.47,19.71,18.25,21.29,21.01,13.54,16.89
"2016-10-31 06:30:00",1325,0.096,0.093,0.102,20.74,20.89,20.76,20.44,19.71,18.26,21.21,20.92,13.54,16.91
"2016-10-31 06:45:00",1326,0.096,0.093,0.102,20.68,20.82,20.74,20.42,19.71,18.27,21.16,20.86,13.54,17.11
"2016-10-31 07:00:00",1327,0.096,0.093,0.102,20.66,20.76,20.69,20.39,19.71,18.28,21.14,20.83,13.54,17.36
"2016-10-31 07:15:00",1328,0.096,0.093,0.102,20.71,20.75,20.64,20.38,19.71,18.28,21.18,20.81,13.54,17.69
"2016-10-31 07:30:00",1329,0.096,0.093,0.102,20.87,20.75,20.62,20.38,19.71,18.29,21.2,20.83,13.54,18.05
"2016-10-31 07:45:00",1330,0.095,0.093,0.102,21.1,20.8,20.56,20.35,19.71,18.29,21.21,20.85,13.54,18.46
"2016-10-31 08:00:00",1331,0.095,0.092,0.102,21.53,20.94,20.53,20.33,19.71,18.3,21.24,20.89,13.54,18.92
"2016-10-31 08:15:00",1332,0.095,0.092,0.101,21.96,21.15,20.54,20.31,19.69,18.29,21.29,20.96,13.54,19.39
"2016-10-31 08:30:00",1333,0.095,0.092,0.101,22.23,21.36,20.59,20.27,19.68,18.3,21.37,21.03,13.54,19.86
"2016-10-31 08:45:00",1334,0.095,0.092,0.101,22.38,21.53,20.65,20.27,19.67,18.3,21.48,21.11,13.54,20.45
"2016-10-31 09:00:00",1335,0.095,0.092,0.101,22.69,21.69,20.69,20.27,19.66,18.3,21.66,21.22,13.54,21.15
"2016-10-31 09:15:00",1336,0.094,0.092,0.101,23.12,21.92,20.76,20.28,19.66,18.3,21.91,21.38,13.54,21.81
"2016-10-31 09:30:00",1337,0.094,0.092,0.101,23.58,22.21,20.82,20.31,19.65,18.3,22.19,21.54,13.54,22.22
"2016-10-31 09:45:00",1338,0.094,0.091,"NAN",23.96,22.5,20.91,20.31,19.65,18.3,22.46,21.68,13.54,22.64
"2016-10-31 10:00:00",1339,0.094,0.091,0.1,24.32,22.76,21.02,20.31,19.65,18.32,22.77,21.86,13.54,23.21
"2016-10-31 10:15:00",1340,0.094,0.091,"NAN",24.68,23,21.12,20.34,19.65,18.31,23.14,22.05,13.54,23.87
"2016-10-31 10:30:00",1341,0.094,0.091,0.1,24.94,23.25,21.23,20.38,19.66,18.32,23.53,22.26,13.54,24.19
"2016-10-31 10:45:00",1342,0.094,0.091,"NAN",25.14,23.49,21.35,20.43,19.67,18.32,23.93,22.46,13.54,24.16
"2016-10-31 11:00:00",1343,0.094,0.091,"NAN",25.37,23.73,21.48,20.45,19.67,18.32,24.31,22.69,13.54,24.39
