"TOA5","WTC05","CR1000","33591","CR1000.Std.19","CPU:WTCsensors_Ch5_leafT_20160229.CR1","32165","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2016-09-30 06:15:00",20523,0.187,0.187,0.203,13.07,13.21,13.86,14.45,14.79,15.03,13.67,13.94,13.41,13.8
"2016-09-30 06:30:00",20524,0.187,0.187,0.203,13.04,13.17,13.84,14.43,14.78,15.04,13.64,13.92,13.41,13.78
"2016-09-30 06:45:00",20525,0.187,0.187,0.203,13,13.17,13.84,14.42,14.78,15.04,13.61,13.9,13.41,13.92
"2016-09-30 07:00:00",20526,0.187,0.187,0.203,12.98,13.17,13.81,14.4,14.77,15.04,13.59,13.89,13.41,14.21
"2016-09-30 07:15:00",20527,0.186,0.186,0.203,12.97,13.16,13.81,14.38,14.75,15.03,13.59,13.87,13.41,14.61
"2016-09-30 07:30:00",20528,0.186,0.186,0.203,13,13.14,13.81,14.38,14.76,15.03,13.61,13.88,13.41,15.04
"2016-09-30 07:45:00",20529,0.186,0.186,0.203,13.12,13.17,13.79,14.38,14.76,15.02,13.65,13.89,13.41,15.48
"2016-09-30 08:00:00",20530,0.186,0.186,0.203,13.3,13.21,13.79,14.37,14.76,15.04,13.73,13.92,13.41,15.95
"2016-09-30 08:15:00",20531,0.186,0.186,0.203,13.51,13.32,13.79,14.34,14.76,15.05,13.86,13.97,13.4,16.44
"2016-09-30 08:30:00",20532,0.186,0.186,0.203,13.63,13.41,13.8,14.35,14.76,15.05,13.96,14.01,13.4,16.98
"2016-09-30 08:45:00",20533,0.186,0.186,0.203,13.79,13.52,13.83,14.34,14.75,15.04,14.11,14.08,13.4,17.59
"2016-09-30 09:00:00",20534,0.186,0.187,0.203,13.98,13.64,13.86,14.33,14.74,15.05,14.28,14.15,13.4,18.23
"2016-09-30 09:15:00",20535,0.187,0.187,0.203,14.19,13.77,13.89,14.33,14.74,15.03,14.48,14.25,13.39,18.74
"2016-09-30 09:30:00",20536,0.187,0.187,0.203,14.35,13.9,13.95,14.34,14.73,15.04,14.69,14.36,13.38,19.13
"2016-09-30 09:45:00",20537,0.187,0.187,0.203,14.45,14.01,14.01,14.34,14.72,15.04,14.86,14.47,13.37,19.47
"2016-09-30 10:00:00",20538,0.187,0.187,0.203,14.49,14.1,14.07,14.35,14.71,15.04,15.01,14.6,13.37,19.42
"2016-09-30 10:15:00",20539,0.188,0.187,0.203,14.48,14.16,14.12,14.37,14.7,15.03,15.11,14.7,13.37,19.28
"2016-09-30 10:30:00",20540,0.188,0.188,0.203,14.47,14.19,14.18,14.38,14.69,15.02,15.16,14.77,13.37,19.15
"2016-09-30 10:45:00",20541,0.188,0.188,0.203,14.46,14.22,14.22,14.39,14.69,15.01,15.2,14.83,13.37,19.05
"2016-09-30 11:00:00",20542,0.188,0.188,0.203,14.55,14.26,14.27,14.4,14.69,15.01,15.25,14.88,13.38,19.31
