"TOA5","WTC05","CR1000","33591","CR1000.Std.30.01","CPU:WTCsensors_Ch5_leafT_20160229.CR1","32165","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2016-10-31 06:15:00",1323,0.128,0.108,0.124,18.48,18.72,19.15,19.05,18.5,17.34,19.16,19.18,13.43,18.82
"2016-10-31 06:30:00",1324,0.128,0.108,0.123,18.32,18.6,19.09,19.04,18.49,17.34,19.05,19.11,13.41,18.79
"2016-10-31 06:45:00",1325,0.128,0.108,0.123,18.22,18.5,19.05,19.01,18.49,17.34,18.95,19.05,13.43,18.89
"2016-10-31 07:00:00",1326,0.128,0.107,0.123,18.16,18.41,19,19,18.5,17.35,18.89,18.99,13.43,19.08
"2016-10-31 07:15:00",1327,0.128,0.107,0.123,18.2,18.39,18.95,18.96,18.5,17.34,18.87,18.95,13.42,19.31
"2016-10-31 07:30:00",1328,0.128,0.107,0.123,18.38,18.39,18.92,18.96,18.5,17.35,18.86,18.94,13.42,19.65
"2016-10-31 07:45:00",1329,0.128,0.107,0.123,18.61,18.43,18.87,18.94,18.51,17.36,18.88,18.95,13.41,20.02
"2016-10-31 08:00:00",1330,0.127,0.107,0.123,18.89,18.54,18.84,18.9,18.5,17.36,18.93,18.97,13.38,20.64
"2016-10-31 08:15:00",1331,0.127,0.107,0.123,19.05,18.68,18.82,18.86,18.5,17.36,19.02,19.01,13.36,21.29
"2016-10-31 08:30:00",1332,0.127,0.106,0.123,19.17,18.8,18.84,18.86,18.51,17.37,19.13,19.05,13.36,21.86
"2016-10-31 08:45:00",1333,0.127,0.106,0.122,19.29,18.89,18.86,18.85,18.5,17.38,19.25,19.1,13.35,22.42
"2016-10-31 09:00:00",1334,0.127,0.106,0.122,19.45,19,18.91,18.84,18.48,17.39,19.4,19.14,13.35,22.92
"2016-10-31 09:15:00",1335,0.127,0.106,0.122,19.6,19.11,18.94,18.82,18.48,17.38,19.57,19.2,13.36,23.38
"2016-10-31 09:30:00",1336,0.127,0.106,0.122,19.75,19.21,18.97,18.82,18.47,17.38,19.77,19.27,13.35,23.72
"2016-10-31 09:45:00",1337,0.127,0.106,0.122,19.89,19.33,19.03,18.82,18.47,17.38,19.99,19.36,13.37,24.16
"2016-10-31 10:00:00",1338,0.127,0.105,0.122,20.19,19.47,19.08,18.82,18.46,17.38,20.26,19.48,13.35,24.84
"2016-10-31 10:15:00",1339,0.127,0.105,0.121,20.5,19.64,19.13,18.84,18.46,17.39,20.58,19.64,13.38,25.49
"2016-10-31 10:30:00",1340,0.127,0.105,0.121,20.77,19.84,19.21,18.85,18.46,17.4,20.88,19.8,13.36,25.98
"2016-10-31 10:45:00",1341,0.127,0.105,0.121,20.92,20.05,19.29,18.87,18.46,17.4,21.14,19.95,13.37,26.34
"2016-10-31 11:00:00",1342,0.127,0.105,0.121,21.02,20.2,19.39,18.9,18.46,17.42,21.33,20.13,13.37,26.78
