"TOA5","WTC06","CR1000","33293","CR1000.Std.19","CPU:WTCsensors_Ch6_20160720.CR1","61392","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","VW_Avg(4)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2016-09-30 06:15:00",6899,0.089,0.102,0.126,0.18,15.48,15.82,16.04,16.44,16.42,16.44,15.92,16,13.54,15.14
"2016-09-30 06:30:00",6900,0.089,0.102,0.126,0.18,15.46,15.79,16.03,16.43,16.41,16.44,15.9,15.98,13.54,15.14
"2016-09-30 06:45:00",6901,0.089,0.102,0.126,0.18,15.49,15.78,16.02,16.41,16.41,16.44,15.88,15.96,13.54,15.34
"2016-09-30 07:00:00",6902,0.089,0.102,0.126,0.18,15.54,15.78,16,16.4,16.4,16.44,15.88,15.95,13.54,15.63
"2016-09-30 07:15:00",6903,0.089,0.102,0.126,0.18,15.58,15.8,15.97,16.4,16.4,16.44,15.88,15.95,13.54,16
"2016-09-30 07:30:00",6904,0.088,0.102,0.126,0.179,15.63,15.82,15.97,16.39,16.39,16.44,15.9,15.97,13.54,16.41
"2016-09-30 07:45:00",6905,0.088,0.102,0.126,0.18,15.67,15.82,15.96,16.39,16.39,16.43,15.92,15.98,13.54,16.89
"2016-09-30 08:00:00",6906,0.088,0.102,0.126,0.179,15.78,15.86,15.96,16.37,16.39,16.43,15.95,16.01,13.54,17.41
"2016-09-30 08:15:00",6907,0.088,0.102,0.126,0.179,15.89,15.92,15.97,16.35,16.39,16.43,15.99,16.05,13.54,17.99
"2016-09-30 08:30:00",6908,0.088,0.102,0.126,0.179,16.05,15.96,15.97,16.34,16.39,16.42,16.05,16.1,13.54,18.53
"2016-09-30 08:45:00",6909,0.088,0.102,0.126,0.179,16.25,16.06,15.99,16.34,16.39,16.42,16.11,16.16,13.55,19.13
"2016-09-30 09:00:00",6910,0.088,0.102,0.125,0.179,16.49,16.17,16.01,16.34,16.39,16.42,16.2,16.24,13.54,19.65
"2016-09-30 09:15:00",6911,0.088,0.102,0.125,0.179,16.7,16.3,16.04,16.33,16.38,16.42,16.33,16.33,13.54,20.02
"2016-09-30 09:30:00",6912,0.088,0.102,0.125,0.179,16.85,16.45,16.08,16.33,16.38,16.42,16.47,16.42,13.54,20.34
"2016-09-30 09:45:00",6913,0.088,0.101,0.125,0.18,16.96,16.6,16.11,16.33,16.37,16.42,16.6,16.53,13.54,20.61
"2016-09-30 10:00:00",6914,0.088,0.101,0.125,0.179,17.04,16.69,16.21,16.34,16.36,16.42,16.7,16.63,13.54,20.45
"2016-09-30 10:15:00",6915,0.088,0.101,0.125,0.179,17.07,16.76,16.24,16.36,16.35,16.42,16.77,16.71,13.54,20.26
"2016-09-30 10:30:00",6916,0.088,0.101,0.125,0.179,17.1,16.82,16.3,16.38,16.33,16.42,16.82,16.78,13.54,20.13
"2016-09-30 10:45:00",6917,0.088,0.101,0.125,0.179,17.13,16.87,16.34,16.41,16.33,16.42,16.86,16.83,13.54,20
"2016-09-30 11:00:00",6918,0.088,0.101,0.125,0.179,17.13,16.9,16.39,16.43,16.33,16.42,16.89,16.88,13.54,20.31
"2016-09-30 11:15:00",6919,0.088,0.101,0.125,0.179,17.15,16.95,16.44,16.45,16.33,16.43,16.94,16.97,13.54,20.72
"2016-09-30 11:30:00",6920,0.088,0.101,0.125,0.179,17.16,16.98,16.47,16.47,16.33,16.42,17.01,17.08,13.54,20.69
"2016-09-30 11:45:00",6921,0.088,0.101,0.125,0.179,17.17,17.02,16.5,16.47,16.33,16.42,17.07,17.17,13.54,20.8
"2016-09-30 12:00:00",6922,0.088,0.101,0.125,0.179,17.19,17.03,16.54,16.49,16.33,16.42,17.12,17.24,13.54,20.69
"2016-09-30 12:15:00",6923,0.088,0.101,0.125,0.179,17.25,17.05,16.58,16.52,16.33,16.42,17.16,17.31,13.54,20.48
"2016-09-30 12:30:00",6924,0.088,0.101,0.125,0.179,17.27,17.08,16.59,16.56,16.33,16.42,17.19,17.36,13.54,20.18
"2016-09-30 12:45:00",6925,0.088,0.101,0.125,0.179,17.26,17.13,16.62,16.56,16.33,16.42,17.21,17.38,13.54,19.92
"2016-09-30 13:00:00",6926,0.088,0.101,0.125,0.179,17.26,17.13,16.66,16.56,16.33,16.42,17.22,17.39,13.54,19.86
"2016-09-30 13:15:00",6927,0.088,0.101,0.125,0.179,17.29,17.13,16.67,16.57,16.33,16.42,17.22,17.41,13.54,20.13
"2016-09-30 13:30:00",6928,0.088,0.101,0.125,0.179,17.35,17.15,16.68,16.59,16.34,16.42,17.23,17.42,13.54,20.29
"2016-09-30 13:45:00",6929,0.087,0.101,0.124,0.179,17.36,17.18,16.71,16.62,16.34,16.42,17.24,17.45,13.54,20.05
"2016-09-30 14:00:00",6930,0.087,0.101,0.125,0.179,17.36,17.21,16.72,16.64,16.36,16.42,17.26,17.46,13.54,19.89
"2016-09-30 14:15:00",6931,0.087,0.101,0.124,0.179,17.39,17.23,16.75,16.66,16.35,16.42,17.26,17.46,13.54,20.26
"2016-09-30 14:30:00",6932,0.087,0.101,0.124,0.179,17.44,17.26,16.77,16.66,16.37,16.41,17.25,17.47,13.54,20.58
"2016-09-30 14:45:00",6933,0.087,0.101,0.124,0.179,17.56,17.3,16.8,16.67,16.37,16.42,17.25,17.47,13.54,20.56
"2016-09-30 15:00:00",6934,0.087,0.101,0.124,0.179,17.7,17.39,16.83,16.67,16.37,16.42,17.24,17.49,13.54,20.74
"2016-09-30 15:15:00",6935,0.087,0.101,0.124,0.179,17.7,17.43,16.84,16.7,16.37,16.42,17.24,17.5,13.54,20.69
"2016-09-30 15:30:00",6936,0.087,0.101,0.124,0.179,17.69,17.47,16.86,16.71,16.37,16.42,17.26,17.52,13.54,20.13
"2016-09-30 15:45:00",6937,0.087,0.101,0.124,0.179,17.63,17.48,16.9,16.75,16.37,16.42,17.27,17.53,13.54,19.76
"2016-09-30 16:00:00",6938,0.087,0.101,0.124,0.179,17.55,17.47,16.93,16.76,16.38,16.42,17.27,17.53,13.54,19.15
"2016-09-30 16:15:00",6939,0.087,0.101,0.124,0.179,17.45,17.44,16.94,16.79,16.38,16.4,17.26,17.51,13.54,18.61
"2016-09-30 16:30:00",6940,0.087,0.101,0.124,0.179,17.32,17.4,16.95,16.79,16.38,16.41,17.24,17.47,13.54,18.28
"2016-09-30 16:45:00",6941,0.087,0.1,0.124,0.179,17.24,17.33,16.95,16.8,16.39,16.4,17.21,17.43,13.54,18.2
"2016-09-30 17:00:00",6942,0.087,0.1,0.124,0.179,17.21,17.29,16.95,16.81,16.39,16.4,17.19,17.39,13.54,18.23
"2016-09-30 17:15:00",6943,0.087,0.101,0.124,0.179,17.16,17.26,16.95,16.81,16.4,16.4,17.17,17.36,13.54,18.23
"2016-09-30 17:30:00",6944,0.087,0.101,0.124,0.179,17.13,17.23,16.94,16.82,16.41,16.4,17.15,17.33,13.54,18.1
"2016-09-30 17:45:00",6945,0.087,0.101,0.124,0.179,17.08,17.19,16.94,16.84,16.43,16.39,17.13,17.3,13.54,17.95
"2016-09-30 18:00:00",6946,0.087,0.101,0.124,0.179,17.01,17.14,16.94,16.85,16.43,16.39,17.1,17.27,13.54,17.79
"2016-09-30 18:15:00",6947,0.087,0.101,0.124,0.179,16.96,17.11,16.92,16.85,16.43,16.4,17.08,17.24,13.54,17.62
"2016-09-30 18:30:00",6948,0.087,0.101,0.124,0.179,16.87,17.07,16.9,16.85,16.44,16.4,17.05,17.21,13.54,17.41
"2016-09-30 18:45:00",6949,0.087,0.101,0.124,0.179,16.84,17.01,16.89,16.86,16.45,16.4,17.02,17.17,13.54,17.16
"2016-09-30 19:00:00",6950,0.087,0.101,0.124,0.179,16.77,16.98,16.87,16.86,16.46,16.4,16.98,17.13,13.54,16.94
"2016-09-30 19:15:00",6951,0.087,0.101,0.124,0.179,16.72,16.94,16.86,16.86,16.47,16.4,16.95,17.08,13.54,16.76
"2016-09-30 19:30:00",6952,0.087,0.101,0.124,0.179,16.68,16.88,16.82,16.86,16.48,16.4,16.92,17.04,13.54,16.61
"2016-09-30 19:45:00",6953,0.087,0.101,0.124,0.179,16.63,16.86,16.8,16.85,16.49,16.4,16.88,17,13.54,16.41
"2016-09-30 20:00:00",6954,0.087,0.101,0.124,0.18,16.55,16.82,16.79,16.85,16.49,16.39,16.85,16.96,13.54,16.34
"2016-09-30 20:15:00",6955,0.087,0.101,0.124,0.18,16.49,16.77,16.78,16.83,16.49,16.4,16.81,16.92,13.54,16.41
"2016-09-30 20:30:00",6956,0.087,0.101,0.124,0.179,16.49,16.75,16.76,16.82,16.49,16.39,16.78,16.88,13.54,16.44
"2016-09-30 20:45:00",6957,0.087,0.101,0.124,0.179,16.46,16.72,16.72,16.82,16.49,16.39,16.75,16.85,13.54,16.36
"2016-09-30 21:00:00",6958,0.087,0.101,0.124,0.179,16.41,16.69,16.68,16.82,16.49,16.39,16.72,16.82,13.54,16.19
"2016-09-30 21:15:00",6959,0.087,0.101,0.124,0.179,16.36,16.66,16.68,16.81,16.49,16.39,16.69,16.78,13.54,16.07
"2016-09-30 21:30:00",6960,0.087,0.101,0.124,0.179,16.32,16.62,16.68,16.78,16.49,16.39,16.65,16.75,13.54,16.12
"2016-09-30 21:45:00",6961,0.087,0.101,0.124,0.179,16.29,16.58,16.65,16.77,16.49,16.4,16.63,16.71,13.54,16.22
"2016-09-30 22:00:00",6962,0.087,0.101,0.124,0.179,16.25,16.55,16.62,16.77,16.49,16.4,16.6,16.68,13.54,16.24
"2016-09-30 22:15:00",6963,0.087,0.101,0.124,0.179,16.24,16.51,16.58,16.77,16.49,16.4,16.58,16.66,13.54,16.24
"2016-09-30 22:30:00",6964,0.087,0.101,0.124,0.18,16.21,16.49,16.57,16.77,16.49,16.4,16.55,16.64,13.54,16.12
"2016-09-30 22:45:00",6965,0.087,0.101,0.124,0.179,16.15,16.44,16.57,16.77,16.49,16.39,16.53,16.61,13.54,15.87
"2016-09-30 23:00:00",6966,0.087,0.101,0.124,0.179,16.1,16.39,16.54,16.74,16.49,16.39,16.5,16.58,13.54,15.65
"2016-09-30 23:15:00",6967,0.087,0.101,0.124,0.179,16.06,16.38,16.53,16.73,16.49,16.4,16.48,16.54,13.54,15.46
"2016-09-30 23:30:00",6968,0.087,0.101,0.124,0.179,16.01,16.34,16.5,16.72,16.49,16.4,16.44,16.5,13.54,15.24
"2016-09-30 23:45:00",6969,0.087,0.101,0.124,0.179,15.95,16.29,16.48,16.7,16.49,16.4,16.4,16.47,13.54,15.12
"2016-10-01 00:00:00",6970,0.087,0.101,0.124,0.179,15.92,16.26,16.45,16.68,16.49,16.4,16.37,16.43,13.54,15.24
"2016-10-01 00:15:00",6971,0.087,0.101,0.124,0.18,15.92,16.22,16.41,16.68,16.49,16.41,16.33,16.39,13.54,15.48
"2016-10-01 00:30:00",6972,0.087,0.101,0.124,0.179,15.92,16.21,16.4,16.68,16.49,16.4,16.31,16.37,13.54,15.73
"2016-10-01 00:45:00",6973,0.087,0.101,0.124,0.179,15.92,16.17,16.39,16.68,16.49,16.39,16.29,16.35,13.54,16.02
"2016-10-01 01:00:00",6974,0.087,0.101,0.124,0.179,15.92,16.16,16.36,16.66,16.49,16.4,16.28,16.34,13.54,16.27
"2016-10-01 01:15:00",6975,0.087,0.101,0.124,0.18,15.92,16.16,16.34,16.64,16.49,16.4,16.27,16.34,13.54,16.51
"2016-10-01 01:30:00",6976,0.087,0.101,0.124,0.179,15.92,16.16,16.31,16.63,16.49,16.4,16.26,16.34,13.54,16.71
"2016-10-01 01:45:00",6977,0.087,0.101,0.124,0.179,15.92,16.17,16.3,16.61,16.49,16.4,16.26,16.34,13.54,16.84
"2016-10-01 02:00:00",6978,0.087,0.101,0.124,0.179,15.93,16.16,16.31,16.58,16.49,16.39,16.26,16.33,13.54,16.91
"2016-10-01 02:15:00",6979,0.087,0.101,0.124,0.18,15.93,16.16,16.3,16.58,16.49,16.39,16.25,16.34,13.54,16.96
"2016-10-01 02:30:00",6980,0.087,0.101,0.124,0.18,15.94,16.16,16.3,16.58,16.48,16.4,16.25,16.34,13.54,17.06
"2016-10-01 02:45:00",6981,0.087,0.101,0.124,0.179,15.96,16.16,16.29,16.57,16.49,16.39,16.26,16.34,13.54,17.16
"2016-10-01 03:00:00",6982,0.087,0.101,0.124,0.179,15.97,16.16,16.29,16.57,16.49,16.39,16.26,16.34,13.54,17.24
"2016-10-01 03:15:00",6983,0.087,0.101,0.124,0.179,15.97,16.16,16.26,16.57,16.48,16.39,16.26,16.34,13.54,17.24
"2016-10-01 03:30:00",6984,0.087,0.101,0.124,0.18,15.98,16.17,16.25,16.57,16.48,16.39,16.26,16.35,13.54,17.21
"2016-10-01 03:45:00",6985,0.087,0.101,0.124,0.18,15.98,16.18,16.25,16.56,16.48,16.39,16.26,16.35,13.54,17.26
"2016-10-01 04:00:00",6986,0.087,0.101,0.124,0.179,15.99,16.17,16.25,16.56,16.48,16.39,16.27,16.35,13.54,17.31
"2016-10-01 04:15:00",6987,0.087,0.101,0.124,0.179,16,16.17,16.25,16.53,16.47,16.39,16.27,16.35,13.54,17.26
"2016-10-01 04:30:00",6988,0.087,0.101,0.124,0.179,16,16.17,16.24,16.54,16.46,16.39,16.27,16.35,13.54,17.26
"2016-10-01 04:45:00",6989,0.087,0.101,0.124,0.179,16.01,16.17,16.24,16.53,16.45,16.39,16.27,16.36,13.54,17.29
"2016-10-01 05:00:00",6990,0.087,0.101,0.124,0.179,16.01,16.18,16.24,16.53,16.44,16.39,16.27,16.36,13.54,17.29
"2016-10-01 05:15:00",6991,0.087,0.101,0.124,0.179,16.01,16.17,16.23,16.52,16.44,16.39,16.27,16.36,13.54,17.26
"2016-10-01 05:30:00",6992,0.087,0.101,0.124,0.179,16.01,16.17,16.24,16.52,16.43,16.39,16.27,16.36,13.54,17.21
"2016-10-01 05:45:00",6993,0.087,0.101,0.124,0.179,16.01,16.18,16.24,16.51,16.44,16.39,16.28,16.36,13.54,17.16
"2016-10-01 06:00:00",6994,0.087,0.101,0.124,0.179,16.01,16.17,16.23,16.51,16.44,16.39,16.27,16.36,13.54,17.14
"2016-10-01 06:15:00",6995,0.087,0.101,0.124,0.179,16.01,16.17,16.23,16.5,16.43,16.39,16.27,16.35,13.54,17.19
"2016-10-01 06:30:00",6996,0.087,0.101,0.124,0.179,16.01,16.16,16.22,16.49,16.43,16.39,16.27,16.35,13.54,17.34
"2016-10-01 06:45:00",6997,0.087,0.101,0.124,0.179,16.05,16.18,16.22,16.48,16.41,16.39,16.28,16.35,13.54,17.59
"2016-10-01 07:00:00",6998,0.087,0.101,0.124,0.18,16.13,16.19,16.22,16.48,16.4,16.39,16.28,16.36,13.54,17.89
"2016-10-01 07:15:00",6999,0.087,0.101,0.124,0.18,16.21,16.23,16.22,16.48,16.4,16.39,16.31,16.38,13.54,18.43
"2016-10-01 07:30:00",7000,0.087,0.101,0.124,0.18,16.32,16.28,16.24,16.48,16.39,16.39,16.34,16.41,13.54,19.02
"2016-10-01 07:45:00",7001,0.087,0.101,0.124,0.179,16.44,16.31,16.24,16.48,16.39,16.4,16.38,16.46,13.54,19.6
"2016-10-01 08:00:00",7002,0.087,0.1,0.124,0.18,16.56,16.4,16.24,16.47,16.38,16.4,16.45,16.52,13.54,19.94
"2016-10-01 08:15:00",7003,0.087,0.1,0.124,0.179,16.7,16.48,16.25,16.47,16.38,16.42,16.53,16.59,13.54,20.53
"2016-10-01 08:30:00",7004,0.087,0.1,0.124,0.179,16.87,16.6,16.28,16.47,16.39,16.42,16.61,16.66,13.54,20.96
"2016-10-01 08:45:00",7005,0.087,0.1,0.124,0.179,17.07,16.69,16.32,16.47,16.4,16.42,16.71,16.74,13.54,21.42
"2016-10-01 09:00:00",7006,0.087,0.1,0.124,0.179,17.31,16.82,16.36,16.47,16.41,16.42,16.82,16.83,13.54,21.72
"2016-10-01 09:15:00",7007,0.087,0.1,0.124,0.179,17.52,16.96,16.39,16.49,16.41,16.43,16.96,16.93,13.54,21.95
"2016-10-01 09:30:00",7008,0.087,0.1,0.124,0.179,17.66,17.08,16.46,16.51,16.41,16.42,17.08,17.02,13.54,22.11
"2016-10-01 09:45:00",7009,0.087,0.1,0.124,0.179,17.76,17.19,16.5,16.52,16.42,16.43,17.2,17.11,13.54,22.19
"2016-10-01 10:00:00",7010,0.087,0.1,0.124,0.179,17.83,17.3,16.59,16.56,16.41,16.43,17.29,17.19,13.54,22.22
"2016-10-01 10:15:00",7011,0.087,0.1,0.124,0.179,17.87,17.4,16.65,16.56,16.41,16.43,17.36,17.27,13.54,22.39
"2016-10-01 10:30:00",7012,0.087,0.1,0.123,0.179,17.95,17.48,16.7,16.59,16.41,16.43,17.44,17.35,13.54,22.78
"2016-10-01 10:45:00",7013,0.086,0.1,0.123,0.179,17.99,17.55,16.74,16.61,16.41,16.42,17.52,17.43,13.54,22.95
"2016-10-01 11:00:00",7014,0.086,0.1,0.123,0.179,18.06,17.6,16.8,16.64,16.4,16.42,17.6,17.52,13.54,22.87
"2016-10-01 11:15:00",7015,0.086,0.1,0.123,0.179,18.08,17.67,16.85,16.66,16.41,16.43,17.68,17.61,13.54,23.07
"2016-10-01 11:30:00",7016,0.086,0.1,0.123,0.179,18.08,17.7,16.9,16.7,16.41,16.42,17.75,17.72,13.54,23.38
"2016-10-01 11:45:00",7017,0.086,0.1,0.123,0.179,18.1,17.74,16.95,16.71,16.41,16.43,17.82,17.85,13.54,23.35
"2016-10-01 12:00:00",7018,0.086,0.1,0.123,0.179,18.16,17.79,16.98,16.73,16.41,16.42,17.88,17.94,13.54,23.29
"2016-10-01 12:15:00",7019,0.086,0.1,0.123,0.179,18.21,17.81,17.02,16.76,16.41,16.42,17.93,18,13.54,23.24
"2016-10-01 12:30:00",7020,0.086,0.1,0.123,0.18,18.24,17.85,17.08,16.8,16.42,16.42,17.97,18.04,13.54,22.92
"2016-10-01 12:45:00",7021,0.086,0.1,0.123,0.179,18.22,17.91,17.13,16.84,16.42,16.42,18,18.07,13.54,22.61
"2016-10-01 13:00:00",7022,0.086,0.1,0.123,0.179,18.22,17.92,17.18,16.84,16.42,16.42,18.02,18.07,13.54,22.42
"2016-10-01 13:15:00",7023,0.086,0.1,0.123,0.179,18.22,17.93,17.23,16.86,16.42,16.43,18.04,18.08,13.54,22.28
"2016-10-01 13:30:00",7024,0.086,0.1,0.123,0.179,18.22,17.94,17.25,16.9,16.42,16.42,18.06,18.07,13.54,22.14
"2016-10-01 13:45:00",7025,0.086,0.1,0.123,0.179,18.22,17.94,17.27,16.94,16.42,16.42,18.07,18.07,13.54,22.06
"2016-10-01 14:00:00",7026,0.086,0.1,0.123,0.179,18.23,17.97,17.29,16.94,16.42,16.42,18.09,18.07,13.54,22.17
"2016-10-01 14:15:00",7027,0.086,0.1,0.123,0.179,18.27,17.99,17.32,16.95,16.44,16.42,18.09,18.07,13.54,22.25
"2016-10-01 14:30:00",7028,0.086,0.1,0.123,0.179,18.31,18.01,17.35,16.98,16.45,16.42,18.12,18.07,13.54,22.22
"2016-10-01 14:45:00",7029,0.086,0.1,0.123,0.179,18.29,18.03,17.37,17.01,16.47,16.42,18.13,18.08,13.54,22.03
"2016-10-01 15:00:00",7030,0.086,0.1,0.123,0.179,18.26,18.03,17.37,17.03,16.47,16.42,18.13,18.09,13.54,21.95
"2016-10-01 15:15:00",7031,0.086,0.1,0.123,0.179,18.24,18.03,17.38,17.04,16.47,16.42,18.14,18.09,13.54,21.89
"2016-10-01 15:30:00",7032,0.086,0.1,0.123,0.179,18.23,18.02,17.41,17.05,16.49,16.42,18.14,18.08,13.54,21.89
"2016-10-01 15:45:00",7033,0.086,0.1,0.123,0.18,18.22,18.03,17.43,17.07,16.51,16.42,18.14,18.08,13.54,21.95
"2016-10-01 16:00:00",7034,0.086,0.1,0.123,0.179,18.24,18.03,17.45,17.08,16.52,16.42,18.14,18.08,13.54,22
"2016-10-01 16:15:00",7035,0.086,0.1,0.123,0.18,18.25,18.04,17.46,17.11,16.52,16.42,18.15,18.08,13.54,22.08
"2016-10-01 16:30:00",7036,0.086,0.1,0.123,0.179,18.27,18.05,17.48,17.13,16.54,16.42,18.16,18.09,13.54,22.31
"2016-10-01 16:45:00",7037,0.086,0.1,0.123,0.179,18.29,18.05,17.5,17.15,16.55,16.42,18.16,18.1,13.54,22.42
"2016-10-01 17:00:00",7038,0.086,0.1,0.123,0.179,18.31,18.08,17.5,17.17,16.55,16.42,18.17,18.11,13.54,22.42
"2016-10-01 17:15:00",7039,0.086,0.1,0.123,0.179,18.31,18.08,17.51,17.18,16.55,16.42,18.18,18.12,13.54,22.39
"2016-10-01 17:30:00",7040,0.086,0.1,0.123,0.179,18.28,18.08,17.51,17.19,16.56,16.42,18.18,18.13,13.54,22.22
"2016-10-01 17:45:00",7041,0.086,0.1,0.123,0.179,18.25,18.08,17.51,17.2,16.56,16.42,18.19,18.13,13.54,21.95
"2016-10-01 18:00:00",7042,0.086,0.1,0.123,0.179,18.19,18.08,17.52,17.21,16.56,16.42,18.18,18.12,13.54,21.67
"2016-10-01 18:15:00",7043,0.086,0.1,0.123,0.179,18.16,18.06,17.54,17.21,16.57,16.42,18.17,18.11,13.54,21.34
"2016-10-01 18:30:00",7044,0.086,0.1,0.123,0.179,18.1,18.02,17.55,17.22,16.6,16.42,18.15,18.09,13.54,20.99
"2016-10-01 18:45:00",7045,0.086,0.1,0.123,0.179,18.05,18,17.55,17.23,16.6,16.42,18.13,18.07,13.54,20.69
"2016-10-01 19:00:00",7046,0.086,0.1,0.123,0.179,17.98,17.98,17.55,17.25,16.61,16.42,18.09,18.04,13.54,20.31
"2016-10-01 19:15:00",7047,0.086,0.1,0.123,0.18,17.93,17.93,17.55,17.27,16.63,16.42,18.06,18,13.54,19.97
"2016-10-01 19:30:00",7048,0.086,0.1,0.123,0.179,17.86,17.89,17.54,17.28,16.63,16.4,18.03,17.97,13.54,19.52
