"TOA5","WTC06","CR1000","33293","CR1000.Std.30.01","CPU:WTCsensors_Ch6_20160720.CR1","61392","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","VW_Avg(4)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2016-10-31 06:15:00",1322,0.077,0.071,0.084,0.098,20.88,21.18,21.02,20.89,19.97,18.55,21.41,21.3,13.54,19.76
"2016-10-31 06:30:00",1323,0.077,0.071,0.084,0.098,20.83,21.14,21,20.88,19.97,18.56,21.35,21.23,13.54,19.68
"2016-10-31 06:45:00",1324,0.076,0.071,0.084,0.098,20.84,21.08,20.98,20.87,19.98,18.56,21.3,21.17,13.55,19.76
"2016-10-31 07:00:00",1325,0.076,0.071,0.084,0.098,20.84,21.03,20.93,20.85,19.98,18.56,21.25,21.12,13.55,20
"2016-10-31 07:15:00",1326,0.076,0.071,0.084,0.097,20.92,21.02,20.89,20.82,19.98,18.56,21.21,21.09,13.54,20.34
"2016-10-31 07:30:00",1327,0.076,0.071,0.083,0.097,21.13,21.04,20.87,20.79,19.98,18.56,21.2,21.09,13.54,20.72
"2016-10-31 07:45:00",1328,0.076,0.071,0.083,0.097,21.41,21.13,20.86,20.78,19.98,18.56,21.19,21.1,13.54,21.12
"2016-10-31 08:00:00",1329,0.076,0.071,0.083,0.097,21.78,21.25,20.84,20.78,19.97,18.56,21.18,21.13,13.54,21.53
"2016-10-31 08:15:00",1330,0.076,0.071,0.083,0.097,21.96,21.38,20.85,20.78,19.97,18.57,21.18,21.14,13.54,21.95
"2016-10-31 08:30:00",1331,0.076,0.071,0.083,0.097,21.99,21.55,20.87,20.76,19.97,18.57,21.18,21.16,13.54,22.42
"2016-10-31 08:45:00",1332,0.076,0.071,0.083,0.097,22,21.62,20.9,20.73,19.97,18.58,21.18,21.18,13.54,22.9
"2016-10-31 09:00:00",1333,0.076,0.071,0.083,0.097,22.13,21.7,20.92,20.73,19.97,18.59,21.2,21.21,13.54,23.35
"2016-10-31 09:15:00",1334,0.076,0.07,0.083,0.097,22.25,21.78,20.94,20.73,19.97,18.6,21.25,21.24,13.54,23.72
"2016-10-31 09:30:00",1335,0.076,0.07,0.083,0.096,22.34,21.86,20.99,20.73,19.97,18.6,21.33,21.27,13.54,24.04
"2016-10-31 09:45:00",1336,0.076,0.07,0.083,0.096,22.43,21.94,21.01,20.73,19.95,18.59,21.42,21.3,13.54,24.48
"2016-10-31 10:00:00",1337,0.076,0.07,0.083,0.096,22.65,22.03,21.06,20.74,19.95,18.59,21.54,21.34,13.54,25.13
"2016-10-31 10:15:00",1338,0.076,0.07,0.082,0.096,22.85,22.15,21.15,20.76,19.94,18.59,21.68,21.4,13.54,25.7
"2016-10-31 10:30:00",1339,0.076,0.07,0.082,0.096,23.03,22.28,21.19,20.77,19.93,18.6,21.84,21.49,13.54,26.1
"2016-10-31 10:45:00",1340,0.076,0.07,0.082,0.096,23.16,22.43,21.23,20.78,19.93,18.59,22,21.58,13.54,26.34
"2016-10-31 11:00:00",1341,0.076,0.07,0.082,0.096,23.23,22.54,21.29,20.81,19.92,18.6,22.13,21.69,13.54,26.62
"2016-10-31 11:15:00",1342,0.076,0.07,0.082,0.095,23.27,22.61,21.35,20.82,19.92,18.61,22.26,21.82,13.54,27
"2016-10-31 11:30:00",1343,0.076,0.07,0.082,0.095,23.27,22.68,21.43,20.84,19.91,18.62,22.38,21.99,13.54,27.44
"2016-10-31 11:45:00",1344,0.076,0.07,0.082,0.095,23.28,22.71,21.47,20.86,19.92,18.62,22.48,22.14,13.54,28.01
"2016-10-31 12:00:00",1345,0.076,0.07,0.082,0.095,23.31,22.77,21.54,20.9,19.93,18.62,22.58,22.3,13.54,28.43
"2016-10-31 12:15:00",1346,0.076,0.07,0.082,0.095,23.39,22.81,21.6,20.94,19.95,18.63,22.66,22.46,13.54,29.02
"2016-10-31 12:30:00",1347,0.076,0.069,0.082,0.095,23.5,22.86,21.63,20.97,19.95,18.63,22.73,22.61,13.54,29.62
"2016-10-31 12:45:00",1348,0.076,0.069,0.081,0.095,23.65,22.95,21.68,20.99,19.95,18.63,22.8,22.76,13.54,30.29
"2016-10-31 13:00:00",1349,0.076,0.069,0.081,0.094,23.84,23.03,21.74,21,19.95,18.63,22.87,22.87,13.54,30.91
"2016-10-31 13:15:00",1350,0.076,0.069,0.081,0.094,24.03,23.16,21.76,21.03,19.95,18.62,22.93,22.99,13.54,31.4
"2016-10-31 13:30:00",1351,0.076,0.069,0.081,0.094,24.18,23.29,21.83,21.08,19.95,18.63,23,23.09,13.54,32.04
"2016-10-31 13:45:00",1352,0.076,0.069,0.081,0.094,24.26,23.4,21.89,21.12,19.95,18.63,23.05,23.18,13.54,32.62
"2016-10-31 14:00:00",1353,0.076,0.069,0.081,0.094,24.34,23.49,21.94,21.13,19.95,18.63,23.1,23.27,13.54,33.14
"2016-10-31 14:15:00",1354,0.076,0.069,0.081,0.094,24.48,23.58,22.02,21.17,19.97,18.63,23.15,23.34,13.54,33.43
"2016-10-31 14:30:00",1355,0.076,0.069,0.081,0.094,24.5,23.67,22.1,21.22,19.99,18.63,23.19,23.38,13.54,33.06
"2016-10-31 14:45:00",1356,0.076,0.069,0.081,0.094,24.47,23.73,22.18,21.24,19.99,18.64,23.23,23.4,13.54,32.48
"2016-10-31 15:00:00",1357,0.076,0.069,0.081,0.093,24.44,23.75,22.25,21.27,20,18.64,23.28,23.42,13.54,31.9
"2016-10-31 15:15:00",1358,0.076,0.069,0.08,0.093,24.43,23.78,22.28,21.31,20.02,18.65,23.32,23.42,13.54,31.23
"2016-10-31 15:30:00",1359,0.076,0.068,0.08,0.093,24.25,23.77,22.34,21.36,20.03,18.66,23.37,23.43,13.54,30.19
"2016-10-31 15:45:00",1360,0.076,0.068,0.08,0.093,24.12,23.72,22.37,21.38,20.04,18.66,23.38,23.41,13.54,29.02
"2016-10-31 16:00:00",1361,0.076,0.068,0.08,0.093,23.89,23.66,22.41,21.42,20.04,18.67,23.37,23.37,13.53,27.85
"2016-10-31 16:15:00",1362,0.076,0.068,0.08,0.093,23.66,23.58,22.44,21.46,20.05,18.67,23.32,23.31,13.54,26.93
"2016-10-31 16:30:00",1363,0.076,0.068,0.08,0.093,23.47,23.49,22.45,21.48,20.06,18.67,23.26,23.23,13.54,26.25
"2016-10-31 16:45:00",1364,0.076,0.068,0.08,0.093,23.3,23.39,22.44,21.52,20.07,18.66,23.17,23.15,13.54,25.55
"2016-10-31 17:00:00",1365,0.076,0.068,0.08,0.093,23.14,23.27,22.43,21.55,20.1,18.65,23.08,23.05,13.54,24.95
"2016-10-31 17:15:00",1366,0.076,0.068,0.08,0.093,23.01,23.15,22.4,21.56,20.11,18.64,22.99,22.96,13.54,24.33
"2016-10-31 17:30:00",1367,0.076,0.068,0.08,0.093,22.83,23.02,22.36,21.56,20.12,18.64,22.89,22.87,13.54,23.75
"2016-10-31 17:45:00",1368,0.076,0.068,0.08,0.093,22.64,22.91,22.33,21.57,20.12,18.65,22.8,22.77,13.54,23.21
"2016-10-31 18:00:00",1369,0.076,0.068,0.08,0.093,22.46,22.78,22.31,21.58,20.14,18.65,22.69,22.66,13.54,22.64
"2016-10-31 18:15:00",1370,0.076,0.068,0.08,0.093,22.28,22.67,22.25,21.58,20.16,18.65,22.57,22.56,13.54,22.03
"2016-10-31 18:30:00",1371,0.076,0.069,0.08,0.093,22.12,22.54,22.18,21.58,20.17,18.67,22.45,22.46,13.54,21.53
"2016-10-31 18:45:00",1372,0.076,0.068,0.08,0.093,21.94,22.41,22.15,21.58,20.2,18.67,22.34,22.35,13.54,21.07
"2016-10-31 19:00:00",1373,0.076,0.069,0.08,0.093,21.74,22.25,22.06,21.56,20.2,18.67,22.22,22.25,13.54,20.5
"2016-10-31 19:15:00",1374,0.076,0.069,0.08,0.093,21.47,22.1,21.99,21.54,20.19,18.67,22.09,22.13,13.54,19.97
"2016-10-31 19:30:00",1375,0.075,0.069,0.08,0.093,21.24,21.95,21.9,21.53,20.21,18.68,21.94,22.01,13.54,19.49
"2016-10-31 19:45:00",1376,0.075,0.069,0.08,0.093,21.01,21.78,21.85,21.5,20.22,18.7,21.79,21.88,13.54,18.97
"2016-10-31 20:00:00",1377,0.075,0.069,0.08,0.093,20.8,21.61,21.78,21.5,20.24,18.7,21.63,21.75,13.54,18.53
"2016-10-31 20:15:00",1378,0.075,0.069,0.08,0.093,20.58,21.41,21.69,21.48,20.25,18.71,21.47,21.62,13.54,18.15
"2016-10-31 20:30:00",1379,0.075,0.069,0.08,0.093,20.37,21.24,21.61,21.44,20.27,18.71,21.31,21.49,13.54,17.69
"2016-10-31 20:45:00",1380,0.075,0.069,0.08,0.093,20.15,21.09,21.5,21.4,20.27,18.71,21.15,21.36,13.54,17.24
"2016-10-31 21:00:00",1381,0.075,0.069,0.08,0.093,19.95,20.91,21.41,21.36,20.28,18.71,20.99,21.22,13.54,16.71
"2016-10-31 21:15:00",1382,0.075,0.069,0.08,0.093,19.72,20.74,21.31,21.32,20.28,18.7,20.83,21.09,13.54,16.19
"2016-10-31 21:30:00",1383,0.075,0.069,0.08,0.093,19.46,20.54,21.21,21.29,20.28,18.69,20.66,20.95,13.54,15.65
"2016-10-31 21:45:00",1384,0.075,0.069,0.08,0.093,19.23,20.37,21.1,21.24,20.28,18.68,20.49,20.81,13.54,15.14
"2016-10-31 22:00:00",1385,0.075,0.069,0.08,0.093,19.01,20.19,20.97,21.2,20.28,18.69,20.32,20.67,13.54,14.71
"2016-10-31 22:15:00",1386,0.075,0.069,0.08,0.093,18.81,20.01,20.87,21.15,20.28,18.68,20.15,20.52,13.54,14.3
"2016-10-31 22:30:00",1387,0.075,0.069,0.08,0.093,18.62,19.82,20.77,21.08,20.27,18.69,19.98,20.38,13.54,13.97
"2016-10-31 22:45:00",1388,0.075,0.069,0.08,0.093,18.42,19.64,20.66,21.03,20.27,18.7,19.82,20.25,13.54,13.64
"2016-10-31 23:00:00",1389,0.075,0.069,0.08,0.093,18.21,19.48,20.55,20.96,20.26,18.7,19.66,20.11,13.54,13.26
"2016-10-31 23:15:00",1390,0.075,0.069,0.08,0.093,18.03,19.31,20.44,20.91,20.25,18.7,19.49,19.97,13.54,12.88
"2016-10-31 23:30:00",1391,0.075,0.069,0.08,0.093,17.83,19.15,20.33,20.84,20.24,18.71,19.33,19.84,13.54,12.53
"2016-10-31 23:45:00",1392,0.075,0.069,0.08,0.093,17.65,18.97,20.23,20.8,20.24,18.72,19.16,19.7,13.54,12.19
"2016-11-01 00:00:00",1393,0.075,0.068,0.08,0.093,17.46,18.81,20.12,20.72,20.24,18.73,19,19.56,13.54,11.89
"2016-11-01 00:15:00",1394,0.075,0.068,0.08,0.093,17.26,18.66,19.97,20.67,20.22,18.73,18.85,19.42,13.54,11.66
"2016-11-01 00:30:00",1395,0.075,0.068,0.08,0.093,17.09,18.5,19.87,20.6,20.21,18.74,18.69,19.29,13.54,11.45
"2016-11-01 00:45:00",1396,0.075,0.068,0.08,0.093,16.94,18.36,19.75,20.55,20.2,18.74,18.54,19.17,13.54,11.31
"2016-11-01 01:00:00",1397,0.074,0.068,0.08,0.093,16.8,18.22,19.63,20.47,20.2,18.75,18.39,19.04,13.54,11.2
"2016-11-01 01:15:00",1398,0.074,0.068,0.08,0.093,16.66,18.05,19.52,20.41,20.19,18.75,18.25,18.93,13.54,11.15
"2016-11-01 01:30:00",1399,0.074,0.068,0.08,0.093,16.54,17.92,19.42,20.34,20.16,18.76,18.12,18.81,13.54,11.06
"2016-11-01 01:45:00",1400,0.074,0.068,0.08,0.093,16.4,17.79,19.31,20.26,20.15,18.76,17.99,18.7,13.54,10.93
"2016-11-01 02:00:00",1401,0.074,0.068,0.08,0.093,16.27,17.66,19.2,20.2,20.11,18.76,17.86,18.59,13.54,10.74
"2016-11-01 02:15:00",1402,0.074,0.068,0.08,0.093,16.12,17.54,19.06,20.13,20.11,18.75,17.73,18.48,13.54,10.56
"2016-11-01 02:30:00",1403,0.074,0.068,0.08,0.093,15.98,17.42,18.96,20.07,20.1,18.76,17.61,18.38,13.54,10.36
"2016-11-01 02:45:00",1404,0.074,0.068,0.08,0.093,15.86,17.26,18.87,19.99,20.08,18.76,17.48,18.27,13.54,10.29
"2016-11-01 03:00:00",1405,0.074,0.068,0.08,0.093,15.75,17.14,18.76,19.93,20.06,18.76,17.36,18.17,13.54,10.25
"2016-11-01 03:15:00",1406,0.074,0.068,0.08,0.093,15.66,17.02,18.66,19.84,20.02,18.76,17.24,18.06,13.54,10.25
"2016-11-01 03:30:00",1407,0.074,0.068,0.08,0.093,15.57,16.92,18.57,19.75,20,18.77,17.13,17.97,13.54,10.31
"2016-11-01 03:45:00",1408,0.074,0.068,0.08,0.093,15.49,16.83,18.49,19.69,19.98,18.76,17.03,17.88,13.54,10.43
"2016-11-01 04:00:00",1409,0.074,0.068,0.08,0.093,15.44,16.76,18.41,19.62,19.97,18.77,16.94,17.79,13.54,10.52
"2016-11-01 04:15:00",1410,0.074,0.068,0.08,0.093,15.36,16.69,18.32,19.55,19.93,18.77,16.85,17.71,13.54,10.54
"2016-11-01 04:30:00",1411,0.074,0.068,0.08,0.093,15.27,16.6,18.24,19.47,19.9,18.77,16.77,17.64,13.54,10.52
"2016-11-01 04:45:00",1412,0.074,0.068,0.08,0.093,15.15,16.5,18.15,19.41,19.87,18.78,16.68,17.56,13.54,10.4
"2016-11-01 05:00:00",1413,0.074,0.068,0.08,0.093,15.05,16.4,18.05,19.33,19.83,18.78,16.59,17.49,13.54,10.25
"2016-11-01 05:15:00",1414,0.074,0.068,0.08,0.093,14.94,16.31,17.98,19.28,19.79,18.78,16.51,17.41,13.54,10.09
"2016-11-01 05:30:00",1415,0.074,0.068,0.08,0.093,14.84,16.22,17.89,19.19,19.74,18.78,16.42,17.32,13.54,9.91
"2016-11-01 05:45:00",1416,0.074,0.068,0.08,0.093,14.74,16.14,17.82,19.15,19.73,18.78,16.33,17.24,13.54,9.75
"2016-11-01 06:00:00",1417,0.074,0.068,0.08,0.093,14.66,16.04,17.75,19.08,19.72,18.78,16.23,17.16,13.54,9.71
"2016-11-01 06:15:00",1418,0.074,0.068,0.08,0.093,14.6,15.97,17.68,19.04,19.69,18.78,16.14,17.08,13.54,9.82
"2016-11-01 06:30:00",1419,0.074,0.068,0.08,0.093,14.57,15.89,17.6,18.96,19.64,18.79,16.07,17.01,13.54,10.13
"2016-11-01 06:45:00",1420,0.074,0.068,0.08,0.093,14.61,15.85,17.52,18.92,19.64,18.78,16.01,16.96,13.54,10.67
"2016-11-01 07:00:00",1421,0.074,0.068,0.08,0.093,14.67,15.81,17.45,18.84,19.6,18.78,15.97,16.91,13.54,11.36
"2016-11-01 07:15:00",1422,0.074,0.068,0.08,0.093,14.81,15.8,17.39,18.81,19.56,18.78,15.95,16.89,13.54,12.33
"2016-11-01 07:30:00",1423,0.074,0.068,0.08,0.093,15.03,15.86,17.34,18.75,19.54,18.78,15.95,16.9,13.54,13.19
"2016-11-01 07:45:00",1424,0.074,0.068,0.08,0.093,15.24,15.92,17.29,18.71,19.5,18.78,16,16.93,13.54,13.92
"2016-11-01 08:00:00",1425,0.074,0.068,0.08,0.093,15.42,16,17.26,18.64,19.47,18.77,16.06,16.97,13.54,14.75
"2016-11-01 08:15:00",1426,0.074,0.068,0.08,0.093,15.59,16.08,17.25,18.61,19.46,18.79,16.12,17.02,13.54,15.48
"2016-11-01 08:30:00",1427,0.074,0.068,0.08,0.093,15.74,16.17,17.23,18.53,19.43,18.81,16.19,17.06,13.54,16.34
"2016-11-01 08:45:00",1428,0.074,0.068,0.08,0.093,15.98,16.28,17.23,18.51,19.39,18.81,16.28,17.12,13.54,17.31
"2016-11-01 09:00:00",1429,0.074,0.068,0.08,0.092,16.28,16.42,17.25,18.46,19.38,18.82,16.38,17.2,13.54,18.28
"2016-11-01 09:15:00",1430,0.074,0.068,0.08,0.092,16.56,16.61,17.25,18.43,19.34,18.81,16.52,17.29,13.54,19.21
"2016-11-01 09:30:00",1431,0.074,0.068,0.08,0.092,16.86,16.77,17.3,18.42,19.29,18.81,16.67,17.39,13.55,20.08
"2016-11-01 09:45:00",1432,0.074,0.067,0.08,0.092,17.16,16.95,17.34,18.4,19.28,18.8,16.86,17.51,13.54,20.85
"2016-11-01 10:00:00",1433,0.074,0.067,0.08,0.092,17.48,17.14,17.38,18.37,19.25,18.79,17.07,17.63,13.54,21.51
"2016-11-01 10:15:00",1434,0.074,0.067,0.08,0.092,17.74,17.35,17.45,18.36,19.21,18.79,17.29,17.76,13.54,22.17
"2016-11-01 10:30:00",1435,0.074,0.067,0.079,0.092,18.03,17.56,17.52,18.36,19.21,18.79,17.5,17.9,13.54,22.78
"2016-11-01 10:45:00",1436,0.074,0.067,0.079,0.091,18.28,17.76,17.6,18.36,19.19,18.79,17.72,18.04,13.54,23.41
"2016-11-01 11:00:00",1437,0.074,0.067,0.079,0.091,18.51,17.96,17.69,18.37,19.13,18.79,17.93,18.2,13.54,23.99
"2016-11-01 11:15:00",1438,0.074,0.067,0.079,0.091,18.68,18.13,17.77,18.4,19.11,18.79,18.14,18.38,13.54,24.66
"2016-11-01 11:30:00",1439,0.074,0.067,0.079,0.091,18.88,18.32,17.87,18.41,19.08,18.79,18.34,18.56,13.54,25.43
"2016-11-01 11:45:00",1440,0.074,0.067,0.079,0.091,19.05,18.47,17.96,18.45,19.06,18.8,18.54,18.76,13.54,26.13
"2016-11-01 12:00:00",1441,0.074,0.067,0.079,0.091,19.22,18.62,18.04,18.49,19.02,18.81,18.74,18.96,13.54,26.78
"2016-11-01 12:15:00",1442,0.074,0.067,0.079,0.091,19.46,18.77,18.16,18.5,19.01,18.82,18.92,19.19,13.54,27.47
"2016-11-01 12:30:00",1443,0.074,0.067,0.079,0.091,19.72,18.95,18.26,18.53,19.01,18.81,19.08,19.41,13.54,27.88
"2016-11-01 12:45:00",1444,0.074,0.067,0.079,0.09,19.97,19.14,18.35,18.59,19,18.82,19.24,19.62,13.54,28.79
"2016-11-01 13:00:00",1445,0.074,0.066,0.078,0.09,20.29,19.34,18.44,18.63,18.98,18.81,19.39,19.8,13.54,29.68
"2016-11-01 13:15:00",1446,0.074,0.066,0.078,0.09,20.65,19.55,18.54,18.67,18.96,18.79,19.55,19.99,13.54,30.46
"2016-11-01 13:30:00",1447,0.074,0.066,0.078,0.09,20.93,19.79,18.64,18.72,18.94,18.78,19.71,20.18,13.54,31.19
"2016-11-01 13:45:00",1448,0.074,0.066,0.078,0.09,21.18,20.03,18.75,18.77,18.92,18.77,19.86,20.36,13.54,31.97
"2016-11-01 14:00:00",1449,0.074,0.066,0.078,0.09,21.4,20.26,18.88,18.81,18.91,18.77,20.01,20.52,13.54,32.59
"2016-11-01 14:15:00",1450,0.074,0.066,0.078,0.089,21.74,20.46,19,18.86,18.91,18.76,20.15,20.67,13.54,32.77
"2016-11-01 14:30:00",1451,0.074,0.066,0.078,0.089,21.95,20.71,19.15,18.9,18.9,18.76,20.29,20.79,13.54,32.59
"2016-11-01 14:45:00",1452,0.074,0.066,0.078,0.089,22,20.9,19.29,18.97,18.9,18.76,20.42,20.89,13.54,32.12
"2016-11-01 15:00:00",1453,0.074,0.066,0.078,0.089,22.05,21.03,19.43,19.03,18.9,18.76,20.55,20.98,13.54,31.47
"2016-11-01 15:15:00",1454,0.074,0.066,0.078,0.089,22.07,21.13,19.55,19.08,18.9,18.76,20.67,21.04,13.54,30.95
"2016-11-01 15:30:00",1455,0.074,0.066,0.078,0.089,22.05,21.22,19.66,19.15,18.9,18.76,20.79,21.1,13.54,30.05
"2016-11-01 15:45:00",1456,0.074,0.066,0.077,0.089,21.97,21.24,19.76,19.21,18.91,18.75,20.89,21.15,13.54,29.15
"2016-11-01 16:00:00",1457,0.074,0.066,0.077,0.089,21.93,21.27,19.86,19.27,18.91,18.75,20.96,21.19,13.53,28.43
"2016-11-01 16:15:00",1458,0.074,0.066,0.077,0.089,21.86,21.29,19.94,19.36,18.91,18.75,21.01,21.21,13.53,27.91
"2016-11-01 16:30:00",1459,0.074,0.066,0.077,0.089,21.78,21.28,20.01,19.4,18.92,18.75,21.04,21.21,13.54,27.53
"2016-11-01 16:45:00",1460,0.074,0.066,0.077,0.088,21.67,21.27,20.08,19.47,18.94,18.74,21.06,21.21,13.54,27.03
"2016-11-01 17:00:00",1461,0.074,0.066,0.077,0.088,21.55,21.24,20.15,19.53,18.96,18.74,21.06,21.2,13.54,26.47
"2016-11-01 17:15:00",1462,0.074,0.066,0.077,0.088,21.46,21.21,20.2,19.57,18.97,18.73,21.06,21.17,13.54,25.92
"2016-11-01 17:30:00",1463,0.074,0.066,0.077,0.088,21.38,21.19,20.22,19.62,18.97,18.73,21.05,21.15,13.54,25.46
"2016-11-01 17:45:00",1464,0.074,0.066,0.077,0.088,21.26,21.15,20.25,19.65,18.97,18.73,21.02,21.12,13.54,24.89
"2016-11-01 18:00:00",1465,0.074,0.066,0.077,0.088,21.1,21.09,20.26,19.69,18.99,18.73,20.99,21.07,13.54,24.28
"2016-11-01 18:15:00",1466,0.074,0.066,0.077,0.088,20.95,21,20.28,19.73,19.01,18.73,20.94,21.02,13.54,23.67
"2016-11-01 18:30:00",1467,0.074,0.066,0.077,0.088,20.8,20.92,20.29,19.76,19.02,18.74,20.88,20.96,13.54,23.01
"2016-11-01 18:45:00",1468,0.074,0.066,0.077,0.088,20.63,20.82,20.29,19.79,19.05,18.73,20.8,20.89,13.54,22.33
"2016-11-01 19:00:00",1469,0.074,0.066,0.077,0.088,20.43,20.71,20.26,19.83,19.07,18.73,20.72,20.81,13.54,21.67
"2016-11-01 19:15:00",1470,0.074,0.066,0.077,0.088,20.23,20.56,20.23,19.85,19.06,18.72,20.62,20.73,13.54,21.07
"2016-11-01 19:30:00",1471,0.074,0.066,0.077,0.088,20.06,20.44,20.2,19.86,19.07,18.71,20.52,20.64,13.54,20.53
